Statistischer Bezirk,"Kirchen, Religiöse Einrichtungen (cls:L121)"
01 StB Altstadt ohne Johannstadt,13
02 Johannstadt,4
03 StB Neustadt ohne Leipziger Vorstadt,11
"04 Leipziger Vorstadt, Pieschen",10
"05 Mickten, Kaditz, Trachau",5
06 StB Klotzsche und nördliche OS,10
07 StB Loschwitz und OS Schönfeld-Weißig,15
"08 Blasewitz, Striesen",11
"09 Tolkewitz, Seidnitz, Gruna",6
10 StB Leuben,6
"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",3
"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",8
"13 Südvorstadt, Zschertnitz",9
"14 Mockritz, Coschütz, Plauen",4
"15 Cotta, Löbtau, Naußlitz, Dölzschen",11
16 Gorbitz,2
17 Briesnitz und westliche OS,4
