Statistischer Bezirk,Oberschulen (cls:L543)
01 StB Altstadt ohne Johannstadt,3
02 Johannstadt,3
03 StB Neustadt ohne Leipziger Vorstadt,15
"04 Leipziger Vorstadt, Pieschen",9
"05 Mickten, Kaditz, Trachau",6
06 StB Klotzsche und nördliche OS,6
07 StB Loschwitz und OS Schönfeld-Weißig,12
"08 Blasewitz, Striesen",9
"09 Tolkewitz, Seidnitz, Gruna",12
10 StB Leuben,12
"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",3
"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",6
"13 Südvorstadt, Zschertnitz",3
"14 Mockritz, Coschütz, Plauen",6
"15 Cotta, Löbtau, Naußlitz, Dölzschen",6
16 Gorbitz,3
17 Briesnitz und westliche OS,6
