Jahr,Stadtraum,Anzahl_Kinder_pro_Haushalt
1999,01 StB Altstadt ohne Johannstadt,1.619047619047619
1999,02 Johannstadt,1.580827067669173
1999,03 StB Neustadt ohne Leipziger Vorstadt,1.5680803571428572
1999,"04 Leipziger Vorstadt, Pieschen",1.5813637070440054
1999,"05 Mickten, Kaditz, Trachau",1.5768072289156625
1999,06 StB Klotzsche und nördliche OS,1.5543933054393304
1999,07 StB Loschwitz und OS Schönfeld-Weißig,1.5743243243243243
1999,"08 Blasewitz, Striesen",1.565524193548387
1999,"09 Tolkewitz, Seidnitz, Gruna",1.5730994152046782
1999,10 StB Leuben,1.5558035714285714
1999,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",1.5878839590443685
1999,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",1.5690298507462686
1999,"13 Südvorstadt, Zschertnitz",1.5711805555555556
1999,"14 Mockritz, Coschütz, Plauen",1.5517857142857143
1999,"15 Cotta, Löbtau, Naußlitz, Dölzschen",1.5602094240837696
1999,16 Gorbitz,1.584862385321101
1999,17 Briesnitz und westliche OS,1.5496575342465753
2000,01 StB Altstadt ohne Johannstadt,1.6365384615384615
2000,02 Johannstadt,1.6059322033898304
2000,03 StB Neustadt ohne Leipziger Vorstadt,1.5690045248868778
2000,"04 Leipziger Vorstadt, Pieschen",1.5919612794612794
2000,"05 Mickten, Kaditz, Trachau",1.5810055865921788
2000,06 StB Klotzsche und nördliche OS,1.5576923076923077
2000,07 StB Loschwitz und OS Schönfeld-Weißig,1.5681818181818183
2000,"08 Blasewitz, Striesen",1.5671487603305785
2000,"09 Tolkewitz, Seidnitz, Gruna",1.5712209302325582
2000,10 StB Leuben,1.5701357466063348
2000,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",1.5910041841004183
2000,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",1.5673828125
2000,"13 Südvorstadt, Zschertnitz",1.5857142857142859
2000,"14 Mockritz, Coschütz, Plauen",1.5503355704697985
2000,"15 Cotta, Löbtau, Naußlitz, Dölzschen",1.5550000000000002
2000,16 Gorbitz,1.5975000000000001
2000,17 Briesnitz und westliche OS,1.5565693430656933
2001,01 StB Altstadt ohne Johannstadt,1.633495145631068
2001,02 Johannstadt,1.5756880733944953
2001,03 StB Neustadt ohne Leipziger Vorstadt,1.57487922705314
2001,"04 Leipziger Vorstadt, Pieschen",1.5804924242424243
2001,"05 Mickten, Kaditz, Trachau",1.5728021978021978
2001,06 StB Klotzsche und nördliche OS,1.5596707818930042
2001,07 StB Loschwitz und OS Schönfeld-Weißig,1.571884984025559
2001,"08 Blasewitz, Striesen",1.5451680672268906
2001,"09 Tolkewitz, Seidnitz, Gruna",1.5731707317073171
2001,10 StB Leuben,1.5643459915611815
2001,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",1.603286384976526
2001,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",1.5682730923694779
2001,"13 Südvorstadt, Zschertnitz",1.5882352941176472
2001,"14 Mockritz, Coschütz, Plauen",1.5443037974683544
2001,"15 Cotta, Löbtau, Naußlitz, Dölzschen",1.5733830845771144
2001,16 Gorbitz,1.5960365853658538
2001,17 Briesnitz und westliche OS,1.5589430894308944
2002,01 StB Altstadt ohne Johannstadt,1.627659574468085
2002,02 Johannstadt,1.575
2002,03 StB Neustadt ohne Leipziger Vorstadt,1.5717703349282297
2002,"04 Leipziger Vorstadt, Pieschen",1.583324187884109
2002,"05 Mickten, Kaditz, Trachau",1.560810810810811
2002,06 StB Klotzsche und nördliche OS,1.5581896551724137
2002,07 StB Loschwitz und OS Schönfeld-Weißig,1.576158940397351
2002,"08 Blasewitz, Striesen",1.5363805970149254
2002,"09 Tolkewitz, Seidnitz, Gruna",1.559375
2002,10 StB Leuben,1.5603448275862069
2002,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",1.6031553398058254
