Jahr,Stadtraum,Anteil_Haushalte_ohne_Kinder
1999,01 StB Altstadt ohne Johannstadt,0.8756653992395437
1999,02 Johannstadt,0.8366447751267769
1999,03 StB Neustadt ohne Leipziger Vorstadt,0.8045805856909878
1999,"04 Leipziger Vorstadt, Pieschen",0.7967497291440954
1999,"05 Mickten, Kaditz, Trachau",0.7787191627211563
1999,06 StB Klotzsche und nördliche OS,0.7186976298779028
1999,07 StB Loschwitz und OS Schönfeld-Weißig,0.7432663864237895
1999,"08 Blasewitz, Striesen",0.7816774467182696
1999,"09 Tolkewitz, Seidnitz, Gruna",0.8072160546541418
1999,10 StB Leuben,0.7924508069272425
1999,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",0.779056133665543
1999,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",0.7441149088974598
1999,"13 Südvorstadt, Zschertnitz",0.8318266832917706
1999,"14 Mockritz, Coschütz, Plauen",0.7609756097560976
1999,"15 Cotta, Löbtau, Naußlitz, Dölzschen",0.7823212536728698
1999,16 Gorbitz,0.7218702381907129
1999,17 Briesnitz und westliche OS,0.714943032427695
2000,01 StB Altstadt ohne Johannstadt,0.8809122716081379
2000,02 Johannstadt,0.8457853601142953
2000,03 StB Neustadt ohne Leipziger Vorstadt,0.8187800223728368
2000,"04 Leipziger Vorstadt, Pieschen",0.8024606502165097
2000,"05 Mickten, Kaditz, Trachau",0.7820109976433621
2000,06 StB Klotzsche und nördliche OS,0.7263223591823997
2000,07 StB Loschwitz und OS Schönfeld-Weißig,0.7506255212677231
2000,"08 Blasewitz, Striesen",0.784597284180597
2000,"09 Tolkewitz, Seidnitz, Gruna",0.8129797627355199
2000,10 StB Leuben,0.7983862291554599
2000,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",0.7961598746081505
2000,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",0.7522292158405455
2000,"13 Südvorstadt, Zschertnitz",0.8421587004061231
2000,"14 Mockritz, Coschütz, Plauen",0.7760835412623602
2000,"15 Cotta, Löbtau, Naußlitz, Dölzschen",0.7858967504307016
2000,16 Gorbitz,0.7461695607763024
2000,17 Briesnitz und westliche OS,0.7177620858229223
2001,01 StB Altstadt ohne Johannstadt,0.8887122416534181
2001,02 Johannstadt,0.8524452646590052
2001,03 StB Neustadt ohne Leipziger Vorstadt,0.8267582556087724
2001,"04 Leipziger Vorstadt, Pieschen",0.8066894917039769
2001,"05 Mickten, Kaditz, Trachau",0.7851693622215441
2001,06 StB Klotzsche und nördliche OS,0.734784950373163
2001,07 StB Loschwitz und OS Schönfeld-Weißig,0.7531127974655566
2001,"08 Blasewitz, Striesen",0.790346058130253
2001,"09 Tolkewitz, Seidnitz, Gruna",0.8168681171098576
2001,10 StB Leuben,0.8002472055030094
2001,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",0.8121591926426304
2001,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",0.7591903362716291
2001,"13 Südvorstadt, Zschertnitz",0.8474801061007957
2001,"14 Mockritz, Coschütz, Plauen",0.7857078489681896
2001,"15 Cotta, Löbtau, Naußlitz, Dölzschen",0.7945394850527043
2001,16 Gorbitz,0.7751089760697447
2001,17 Briesnitz und westliche OS,0.7281120662209487
2002,01 StB Altstadt ohne Johannstadt,0.8933050228916463
2002,02 Johannstadt,0.8599535115391002
2002,03 StB Neustadt ohne Leipziger Vorstadt,0.8346370747680553
2002,"04 Leipziger Vorstadt, Pieschen",0.8162526526026713
2002,"05 Mickten, Kaditz, Trachau",0.7916666666666666
2002,06 StB Klotzsche und nördliche OS,0.7413007141771767
2002,07 StB Loschwitz und OS Schönfeld-Weißig,0.7594356774052796
2002,"08 Blasewitz, Striesen",0.795344193855788
2002,"09 Tolkewitz, Seidnitz, Gruna",0.8202103240271179
