Jahr,Stadtraum,mean_Wohndauer
1999,01 StB Altstadt ohne Johannstadt,118.99521433615651
1999,02 Johannstadt,108.86859699553638
1999,03 StB Neustadt ohne Leipziger Vorstadt,124.6483443658038
1999,"04 Leipziger Vorstadt, Pieschen",119.05390511995482
1999,"05 Mickten, Kaditz, Trachau",118.10642861569578
1999,06 StB Klotzsche und nördliche OS,125.12352998284022
1999,07 StB Loschwitz und OS Schönfeld-Weißig,118.76581583066904
1999,"08 Blasewitz, Striesen",114.01005742611399
1999,"09 Tolkewitz, Seidnitz, Gruna",111.8135149298541
1999,10 StB Leuben,116.33982441691826
1999,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",99.12194428898482
1999,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",114.30275584002548
1999,"13 Südvorstadt, Zschertnitz",109.63734140792134
1999,"14 Mockritz, Coschütz, Plauen",114.0114926617863
1999,"15 Cotta, Löbtau, Naußlitz, Dölzschen",118.78981140899383
1999,16 Gorbitz,99.9490573867046
1999,17 Briesnitz und westliche OS,117.07003322373352
2000,01 StB Altstadt ohne Johannstadt,114.89330232170506
2000,02 Johannstadt,110.4542152205085
2000,03 StB Neustadt ohne Leipziger Vorstadt,115.9831080794895
2000,"04 Leipziger Vorstadt, Pieschen",114.91354689030578
2000,"05 Mickten, Kaditz, Trachau",114.84027467014933
2000,06 StB Klotzsche und nördliche OS,124.76801367771986
2000,07 StB Loschwitz und OS Schönfeld-Weißig,120.11130168048555
2000,"08 Blasewitz, Striesen",115.37970731976306
2000,"09 Tolkewitz, Seidnitz, Gruna",112.61147127610742
2000,10 StB Leuben,111.58183403021872
2000,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",100.92508897118108
2000,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",115.21804433303798
2000,"13 Südvorstadt, Zschertnitz",111.19046526132104
2000,"14 Mockritz, Coschütz, Plauen",114.54136047735489
2000,"15 Cotta, Löbtau, Naußlitz, Dölzschen",118.62899528791007
2000,16 Gorbitz,99.47222001418596
2000,17 Briesnitz und westliche OS,115.12596746044119
2001,01 StB Altstadt ohne Johannstadt,115.86001963648037
2001,02 Johannstadt,111.19905971292928
2001,03 StB Neustadt ohne Leipziger Vorstadt,118.16396246219574
2001,"04 Leipziger Vorstadt, Pieschen",112.88276864386296
2001,"05 Mickten, Kaditz, Trachau",116.65149125124351
2001,06 StB Klotzsche und nördliche OS,126.64672838723745
2001,07 StB Loschwitz und OS Schönfeld-Weißig,120.09020179434133
2001,"08 Blasewitz, Striesen",116.58958578318739
2001,"09 Tolkewitz, Seidnitz, Gruna",111.37815379565423
2001,10 StB Leuben,112.67773367207002
2001,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",102.20041320759479
2001,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",116.20983205950263
2001,"13 Südvorstadt, Zschertnitz",110.97766887569442
2001,"14 Mockritz, Coschütz, Plauen",115.62655268535855
2001,"15 Cotta, Löbtau, Naußlitz, Dölzschen",117.65731769542062
2001,16 Gorbitz,100.19831736346082
2001,17 Briesnitz und westliche OS,115.66351073637593
2002,01 StB Altstadt ohne Johannstadt,128.42134879640184
2002,02 Johannstadt,123.23990922835632
2002,03 StB Neustadt ohne Leipziger Vorstadt,136.1397711205665
2002,"04 Leipziger Vorstadt, Pieschen",158.7646160385065
2002,"05 Mickten, Kaditz, Trachau",115.70983362556136
2002,06 StB Klotzsche und nördliche OS,132.54176738440938
2002,07 StB Loschwitz und OS Schönfeld-Weißig,129.12800910239295
2002,"08 Blasewitz, Striesen",132.73255985193407
2002,"09 Tolkewitz, Seidnitz, Gruna",116.62894765426203
2002,10 StB Leuben,116.04245767968587
2002,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",116.50700304370014
2002,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",126.48060831618615
2002,"13 Südvorstadt, Zschertnitz",131.11808895988165
2002,"14 Mockritz, Coschütz, Plauen",141.37181817314837
2002,"15 Cotta, Löbtau, Naußlitz, Dölzschen",146.4977352306091
2002,16 Gorbitz,92.23547275689269
2002,17 Briesnitz und westliche OS,118.97113378416492
2003,01 StB Altstadt ohne Johannstadt,119.6273572265872
2003,02 Johannstadt,116.35682730751456
2003,03 StB Neustadt ohne Leipziger Vorstadt,130.6229444379741
2003,"04 Leipziger Vorstadt, Pieschen",127.8495560461638
2003,"05 Mickten, Kaditz, Trachau",116.7155583940956
2003,06 StB Klotzsche und nördliche OS,126.14887913428443
