Jahr,Stadtraum,Geborene
1999,01 StB Altstadt ohne Johannstadt,164
1999,02 Johannstadt,133
1999,03 StB Neustadt ohne Leipziger Vorstadt,306
1999,"04 Leipziger Vorstadt, Pieschen",255
1999,"05 Mickten, Kaditz, Trachau",194
1999,06 StB Klotzsche und nördliche OS,186
1999,07 StB Loschwitz und OS Schönfeld-Weißig,227
1999,"08 Blasewitz, Striesen",355
1999,"09 Tolkewitz, Seidnitz, Gruna",240
1999,10 StB Leuben,254
1999,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",168
1999,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",261
1999,"13 Südvorstadt, Zschertnitz",155
1999,"14 Mockritz, Coschütz, Plauen",146
1999,"15 Cotta, Löbtau, Naußlitz, Dölzschen",311
1999,16 Gorbitz,108
1999,17 Briesnitz und westliche OS,167
2000,01 StB Altstadt ohne Johannstadt,178
2000,02 Johannstadt,145
2000,03 StB Neustadt ohne Leipziger Vorstadt,377
2000,"04 Leipziger Vorstadt, Pieschen",308
2000,"05 Mickten, Kaditz, Trachau",262
2000,06 StB Klotzsche und nördliche OS,220
2000,07 StB Loschwitz und OS Schönfeld-Weißig,259
2000,"08 Blasewitz, Striesen",475
2000,"09 Tolkewitz, Seidnitz, Gruna",258
2000,10 StB Leuben,295
2000,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",166
2000,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",270
2000,"13 Südvorstadt, Zschertnitz",156
2000,"14 Mockritz, Coschütz, Plauen",193
2000,"15 Cotta, Löbtau, Naußlitz, Dölzschen",363
2000,16 Gorbitz,132
2000,17 Briesnitz und westliche OS,187
2001,01 StB Altstadt ohne Johannstadt,150
2001,02 Johannstadt,123
2001,03 StB Neustadt ohne Leipziger Vorstadt,343
2001,"04 Leipziger Vorstadt, Pieschen",384
2001,"05 Mickten, Kaditz, Trachau",246
2001,06 StB Klotzsche und nördliche OS,212
2001,07 StB Loschwitz und OS Schönfeld-Weißig,302
2001,"08 Blasewitz, Striesen",501
2001,"09 Tolkewitz, Seidnitz, Gruna",259
2001,10 StB Leuben,332
2001,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",148
