Jahr,Stadtraum,Gestorbene
1999,01 StB Altstadt ohne Johannstadt,589
1999,02 Johannstadt,309
1999,03 StB Neustadt ohne Leipziger Vorstadt,185
1999,"04 Leipziger Vorstadt, Pieschen",194
1999,"05 Mickten, Kaditz, Trachau",222
1999,06 StB Klotzsche und nördliche OS,225
1999,07 StB Loschwitz und OS Schönfeld-Weißig,271
1999,"08 Blasewitz, Striesen",263
1999,"09 Tolkewitz, Seidnitz, Gruna",295
1999,10 StB Leuben,324
1999,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",301
1999,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",269
1999,"13 Südvorstadt, Zschertnitz",198
1999,"14 Mockritz, Coschütz, Plauen",149
1999,"15 Cotta, Löbtau, Naußlitz, Dölzschen",304
1999,16 Gorbitz,350
1999,17 Briesnitz und westliche OS,161
2000,01 StB Altstadt ohne Johannstadt,547
2000,02 Johannstadt,338
2000,03 StB Neustadt ohne Leipziger Vorstadt,202
2000,"04 Leipziger Vorstadt, Pieschen",229
2000,"05 Mickten, Kaditz, Trachau",224
2000,06 StB Klotzsche und nördliche OS,264
2000,07 StB Loschwitz und OS Schönfeld-Weißig,286
2000,"08 Blasewitz, Striesen",279
2000,"09 Tolkewitz, Seidnitz, Gruna",307
2000,10 StB Leuben,325
2000,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",313
2000,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",298
2000,"13 Südvorstadt, Zschertnitz",253
2000,"14 Mockritz, Coschütz, Plauen",154
2000,"15 Cotta, Löbtau, Naußlitz, Dölzschen",283
2000,16 Gorbitz,349
2000,17 Briesnitz und westliche OS,161
2001,01 StB Altstadt ohne Johannstadt,565
2001,02 Johannstadt,306
2001,03 StB Neustadt ohne Leipziger Vorstadt,203
2001,"04 Leipziger Vorstadt, Pieschen",219
2001,"05 Mickten, Kaditz, Trachau",245
2001,06 StB Klotzsche und nördliche OS,246
2001,07 StB Loschwitz und OS Schönfeld-Weißig,291
2001,"08 Blasewitz, Striesen",318
2001,"09 Tolkewitz, Seidnitz, Gruna",303
2001,10 StB Leuben,341
2001,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",280
2001,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",319
2001,"13 Südvorstadt, Zschertnitz",199
2001,"14 Mockritz, Coschütz, Plauen",164
2001,"15 Cotta, Löbtau, Naußlitz, Dölzschen",229
2001,16 Gorbitz,317
2001,17 Briesnitz und westliche OS,157
2003,01 StB Altstadt ohne Johannstadt,614
2003,02 Johannstadt,411
2003,03 StB Neustadt ohne Leipziger Vorstadt,222
2003,"04 Leipziger Vorstadt, Pieschen",276
2003,"05 Mickten, Kaditz, Trachau",191
2003,06 StB Klotzsche und nördliche OS,279
2003,07 StB Loschwitz und OS Schönfeld-Weißig,296
2003,"08 Blasewitz, Striesen",349
2003,"09 Tolkewitz, Seidnitz, Gruna",277
2003,10 StB Leuben,389
2003,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",217
2003,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",295
2003,"13 Südvorstadt, Zschertnitz",192
2003,"14 Mockritz, Coschütz, Plauen",172
2003,"15 Cotta, Löbtau, Naußlitz, Dölzschen",224
2003,16 Gorbitz,262
2003,17 Briesnitz und westliche OS,156
2004,01 StB Altstadt ohne Johannstadt,594
2004,02 Johannstadt,434
2004,03 StB Neustadt ohne Leipziger Vorstadt,225
2004,"04 Leipziger Vorstadt, Pieschen",247
2004,"05 Mickten, Kaditz, Trachau",216
2004,06 StB Klotzsche und nördliche OS,244
2004,07 StB Loschwitz und OS Schönfeld-Weißig,321
2004,"08 Blasewitz, Striesen",290
2004,"09 Tolkewitz, Seidnitz, Gruna",274
2004,10 StB Leuben,439
2004,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",243
2004,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",303
2004,"13 Südvorstadt, Zschertnitz",164
2004,"14 Mockritz, Coschütz, Plauen",164
2004,"15 Cotta, Löbtau, Naußlitz, Dölzschen",244
2004,16 Gorbitz,252
2004,17 Briesnitz und westliche OS,159
2005,01 StB Altstadt ohne Johannstadt,574
2005,02 Johannstadt,419
2005,03 StB Neustadt ohne Leipziger Vorstadt,215
2005,"04 Leipziger Vorstadt, Pieschen",259
2005,"05 Mickten, Kaditz, Trachau",202
2005,06 StB Klotzsche und nördliche OS,269
2005,07 StB Loschwitz und OS Schönfeld-Weißig,298
2005,"08 Blasewitz, Striesen",302
2005,"09 Tolkewitz, Seidnitz, Gruna",262
2005,10 StB Leuben,425
2005,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",233
2005,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",299
2005,"13 Südvorstadt, Zschertnitz",172
2005,"14 Mockritz, Coschütz, Plauen",191
2005,"15 Cotta, Löbtau, Naußlitz, Dölzschen",265
2005,16 Gorbitz,283
2005,17 Briesnitz und westliche OS,168
2006,01 StB Altstadt ohne Johannstadt,502
2006,02 Johannstadt,394
2006,03 StB Neustadt ohne Leipziger Vorstadt,180
2006,"04 Leipziger Vorstadt, Pieschen",238
2006,"05 Mickten, Kaditz, Trachau",188
2006,06 StB Klotzsche und nördliche OS,266
2006,07 StB Loschwitz und OS Schönfeld-Weißig,259
2006,"08 Blasewitz, Striesen",383
2006,"09 Tolkewitz, Seidnitz, Gruna",278
