Jahr,Stadtraum,Gebäudeanzahl,Anzahl Wohnungen
1992,01 StB Altstadt ohne Johannstadt,1,24
1992,03 StB Neustadt ohne Leipziger Vorstadt,1,4
1992,07 StB Loschwitz und OS Schönfeld-Weißig,2,2
1992,"08 Blasewitz, Striesen",2,2
1992,"09 Tolkewitz, Seidnitz, Gruna",1,1
1992,10 StB Leuben,3,6
1992,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",1,5
1992,"15 Cotta, Löbtau, Naußlitz, Dölzschen",1,9
1993,01 StB Altstadt ohne Johannstadt,2,3
1993,03 StB Neustadt ohne Leipziger Vorstadt,13,91
1993,"04 Leipziger Vorstadt, Pieschen",5,28
1993,"05 Mickten, Kaditz, Trachau",4,15
1993,06 StB Klotzsche und nördliche OS,2,3
1993,07 StB Loschwitz und OS Schönfeld-Weißig,10,16
1993,"08 Blasewitz, Striesen",10,41
1993,"09 Tolkewitz, Seidnitz, Gruna",3,4
1993,10 StB Leuben,6,18
1993,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",1,1
1993,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",2,2
1993,"13 Südvorstadt, Zschertnitz",1,2
1993,"14 Mockritz, Coschütz, Plauen",7,25
1993,"15 Cotta, Löbtau, Naußlitz, Dölzschen",12,46
1993,17 Briesnitz und westliche OS,3,8
1994,01 StB Altstadt ohne Johannstadt,6,24
1994,03 StB Neustadt ohne Leipziger Vorstadt,14,37
1994,"04 Leipziger Vorstadt, Pieschen",6,9
1994,"05 Mickten, Kaditz, Trachau",4,13
1994,06 StB Klotzsche und nördliche OS,7,25
1994,07 StB Loschwitz und OS Schönfeld-Weißig,12,21
1994,"08 Blasewitz, Striesen",20,116
1994,"09 Tolkewitz, Seidnitz, Gruna",3,6
1994,10 StB Leuben,16,47
1994,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",1,1
1994,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",7,14
1994,"13 Südvorstadt, Zschertnitz",3,6
1994,"14 Mockritz, Coschütz, Plauen",8,34
1994,"15 Cotta, Löbtau, Naußlitz, Dölzschen",8,50
1994,16 Gorbitz,2,2
1994,17 Briesnitz und westliche OS,6,23
1995,01 StB Altstadt ohne Johannstadt,1,2
1995,03 StB Neustadt ohne Leipziger Vorstadt,7,27
1995,"04 Leipziger Vorstadt, Pieschen",5,16
1995,"05 Mickten, Kaditz, Trachau",12,19
1995,06 StB Klotzsche und nördliche OS,14,126
1995,07 StB Loschwitz und OS Schönfeld-Weißig,21,36
1995,"08 Blasewitz, Striesen",9,13
1995,"09 Tolkewitz, Seidnitz, Gruna",2,4
1995,10 StB Leuben,12,26
1995,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",1,1
1995,"13 Südvorstadt, Zschertnitz",2,2
1995,"14 Mockritz, Coschütz, Plauen",3,8
1995,"15 Cotta, Löbtau, Naußlitz, Dölzschen",16,83
1995,17 Briesnitz und westliche OS,4,7
1996,01 StB Altstadt ohne Johannstadt,3,8
1996,03 StB Neustadt ohne Leipziger Vorstadt,14,57
