Jahr,Stadtraum,Einkommen-Haushalt (Äquivalenz-),Anteil Haushalte mit relativ geringem Einkommen - arm,Anteil Haushalte mit mittlerem Einkommen,Anteil Haushalte mit relativ hohem Einkommen - reich
1993,01 StB Altstadt ohne Johannstadt,895,11,85,4
1993,02 Johannstadt,937,8,87,5
1993,03 StB Neustadt ohne Leipziger Vorstadt,767,24,76,0
1993,"04 Leipziger Vorstadt, Pieschen",722,20,78,2
1993,"05 Mickten, Kaditz, Trachau",791,16,82,3
1993,06 StB Klotzsche und nördliche OS,848,14,80,6
1993,07 StB Loschwitz und OS Schönfeld-Weißig,937,16,78,6
1993,"08 Blasewitz, Striesen",913,13,82,5
1993,"09 Tolkewitz, Seidnitz, Gruna",895,15,80,5
1993,10 StB Leuben,895,11,87,2
1993,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",895,14,84,3
1993,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",931,10,85,5
1993,"13 Südvorstadt, Zschertnitz",895,19,77,3
1993,"14 Mockritz, Coschütz, Plauen",889,14,80,6
1993,"15 Cotta, Löbtau, Naußlitz, Dölzschen",781,18,78,4
1993,16 Gorbitz,895,8,91,2
1993,17 Briesnitz und westliche OS,749,12,87,2
1993,18 Dresden gesamt,895,14,82,4
1995,01 StB Altstadt ohne Johannstadt,937,11,85,4
1995,02 Johannstadt,937,9,89,3
1995,03 StB Neustadt ohne Leipziger Vorstadt,818,22,76,3
1995,"04 Leipziger Vorstadt, Pieschen",787,25,73,2
1995,"05 Mickten, Kaditz, Trachau",937,12,85,3
1995,06 StB Klotzsche und nördliche OS,818,14,78,8
1995,07 StB Loschwitz und OS Schönfeld-Weißig,937,8,87,6
1995,"08 Blasewitz, Striesen",908,9,89,3
1995,"09 Tolkewitz, Seidnitz, Gruna",916,9,87,3
1995,10 StB Leuben,937,10,85,5
1995,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",937,9,87,4
1995,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",937,15,80,5
1995,"13 Südvorstadt, Zschertnitz",818,22,74,4
1995,"14 Mockritz, Coschütz, Plauen",937,7,84,9
1995,"15 Cotta, Löbtau, Naußlitz, Dölzschen",818,8,89,3
1995,16 Gorbitz,917,10,89,1
1995,17 Briesnitz und westliche OS,937,8,86,6
1995,18 Dresden gesamt,920,12,84,4
1996,01 StB Altstadt ohne Johannstadt,1102,7,91,2
1996,02 Johannstadt,1111,9,87,4
1996,03 StB Neustadt ohne Leipziger Vorstadt,1027,11,88,2
1996,"04 Leipziger Vorstadt, Pieschen",1011,14,85,0
1996,"05 Mickten, Kaditz, Trachau",1029,10,87,4
1996,06 StB Klotzsche und nördliche OS,979,8,89,3
1996,07 StB Loschwitz und OS Schönfeld-Weißig,999,10,84,6
1996,"08 Blasewitz, Striesen",1154,8,85,6
1996,"09 Tolkewitz, Seidnitz, Gruna",1091,7,90,3
1996,10 StB Leuben,1125,8,89,3
1996,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",1038,7,92,1
1996,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",1159,7,87,6
1996,"13 Südvorstadt, Zschertnitz",1055,16,82,2
1996,"14 Mockritz, Coschütz, Plauen",1074,7,84,9
1996,"15 Cotta, Löbtau, Naußlitz, Dölzschen",1023,15,83,1
1996,16 Gorbitz,1051,8,91,1
1996,17 Briesnitz und westliche OS,1112,12,82,6
1996,18 Dresden gesamt,1064,10,87,3
1998,01 StB Altstadt ohne Johannstadt,1056,14,84,1
1998,02 Johannstadt,1101,9,90,1
1998,03 StB Neustadt ohne Leipziger Vorstadt,1023,13,84,3
1998,"04 Leipziger Vorstadt, Pieschen",996,19,79,2
1998,"05 Mickten, Kaditz, Trachau",1118,9,88,4
1998,06 StB Klotzsche und nördliche OS,1143,15,81,3
1998,07 StB Loschwitz und OS Schönfeld-Weißig,1157,11,81,8
1998,"08 Blasewitz, Striesen",1108,8,87,5
1998,"09 Tolkewitz, Seidnitz, Gruna",1074,13,85,2
1998,10 StB Leuben,1084,7,92,2
1998,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",1023,11,87,1
1998,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",1104,8,89,3
1998,"13 Südvorstadt, Zschertnitz",1107,11,85,4
1998,"14 Mockritz, Coschütz, Plauen",1096,16,77,7
1998,"15 Cotta, Löbtau, Naußlitz, Dölzschen",995,13,84,3
1998,16 Gorbitz,990,16,83,1
1998,17 Briesnitz und westliche OS,1112,4,91,6
1998,18 Dresden gesamt,1074,12,86,3
2002,01 StB Altstadt ohne Johannstadt,1191,25,75,0
2002,02 Johannstadt,1174,25,72,3
2002,03 StB Neustadt ohne Leipziger Vorstadt,1200,21,75,4
2002,"04 Leipziger Vorstadt, Pieschen",1194,20,76,4
2002,"05 Mickten, Kaditz, Trachau",1185,13,81,6
2002,06 StB Klotzsche und nördliche OS,1326,8,87,5
2002,07 StB Loschwitz und OS Schönfeld-Weißig,1467,11,83,6
2002,"08 Blasewitz, Striesen",1348,9,85,6
2002,"09 Tolkewitz, Seidnitz, Gruna",1290,8,91,1
2002,10 StB Leuben,1282,7,89,5
2002,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",1071,26,72,2
2002,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",1296,17,79,5
2002,"13 Südvorstadt, Zschertnitz",1200,19,76,5
2002,"14 Mockritz, Coschütz, Plauen",1339,12,84,4
2002,"15 Cotta, Löbtau, Naußlitz, Dölzschen",1279,11,88,2
2002,16 Gorbitz,1000,30,70,0
2002,17 Briesnitz und westliche OS,1194,16,80,4
2002,18 Dresden gesamt,1238,16,81,4
2005,01 StB Altstadt ohne Johannstadt,1133,22,77,1
2005,02 Johannstadt,1200,15,83,2
2005,03 StB Neustadt ohne Leipziger Vorstadt,1206,17,75,8
2005,"04 Leipziger Vorstadt, Pieschen",1076,21,75,4
2005,"05 Mickten, Kaditz, Trachau",1196,13,84,3
2005,06 StB Klotzsche und nördliche OS,1333,7,87,6
2005,07 StB Loschwitz und OS Schönfeld-Weißig,1335,6,83,11
2005,"08 Blasewitz, Striesen",1363,9,86,5
2005,"09 Tolkewitz, Seidnitz, Gruna",1269,11,85,5
2005,10 StB Leuben,1182,9,87,4
2005,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",1108,21,77,2
2005,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",1250,12,85,3
2005,"13 Südvorstadt, Zschertnitz",1291,18,77,5
2005,"14 Mockritz, Coschütz, Plauen",1300,8,83,8
2005,"15 Cotta, Löbtau, Naußlitz, Dölzschen",1092,23,75,2
2005,16 Gorbitz,1062,26,73,1
2005,17 Briesnitz und westliche OS,1303,16,80,4
2005,18 Dresden gesamt,1214,15,81,5
2007,01 StB Altstadt ohne Johannstadt,1122,26,69,4
2007,02 Johannstadt,1299,17,81,2
2007,03 StB Neustadt ohne Leipziger Vorstadt,1250,21,67,13
2007,"04 Leipziger Vorstadt, Pieschen",1101,24,71,5
2007,"05 Mickten, Kaditz, Trachau",1283,14,81,6
2007,06 StB Klotzsche und nördliche OS,1333,8,88,4
2007,07 StB Loschwitz und OS Schönfeld-Weißig,1465,9,79,13
2007,"08 Blasewitz, Striesen",1467,8,81,11
2007,"09 Tolkewitz, Seidnitz, Gruna",1268,17,79,4
2007,10 StB Leuben,1300,10,82,8
2007,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",1100,27,72,1
2007,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",1333,12,85,3
2007,"13 Südvorstadt, Zschertnitz",1129,31,66,3
2007,"14 Mockritz, Coschütz, Plauen",1366,17,78,5
2007,"15 Cotta, Löbtau, Naußlitz, Dölzschen",1249,19,77,4
2007,16 Gorbitz,961,30,68,2
2007,17 Briesnitz und westliche OS,1357,10,79,11
2007,18 Dresden gesamt,1275,17,77,6
2010,01 StB Altstadt ohne Johannstadt,1290,20,79,0
2010,02 Johannstadt,1332,17,82,2
2010,03 StB Neustadt ohne Leipziger Vorstadt,1450,19,73,9
2010,"04 Leipziger Vorstadt, Pieschen",1277,16,75,9
2010,"05 Mickten, Kaditz, Trachau",1323,14,80,6
2010,06 StB Klotzsche und nördliche OS,1479,10,84,7
2010,07 StB Loschwitz und OS Schönfeld-Weißig,1580,7,80,13
2010,"08 Blasewitz, Striesen",1490,9,83,8
2010,"09 Tolkewitz, Seidnitz, Gruna",1378,12,85,3
2010,10 StB Leuben,1376,11,85,4
2010,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",1166,24,76,1
2010,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",1418,16,79,5
2010,"13 Südvorstadt, Zschertnitz",1340,11,88,2
2010,"14 Mockritz, Coschütz, Plauen",1512,14,81,6
2010,"15 Cotta, Löbtau, Naußlitz, Dölzschen",1300,16,80,4
2010,16 Gorbitz,1286,19,78,3
2010,17 Briesnitz und westliche OS,1336,17,80,4
2010,18 Dresden gesamt,1356,15,80,5
2012,01 StB Altstadt ohne Johannstadt,1390,20,78,2
2012,02 Johannstadt,1333,14,85,1
2012,03 StB Neustadt ohne Leipziger Vorstadt,1600,15,76,9
2012,"04 Leipziger Vorstadt, Pieschen",1252,20,77,3
2012,"05 Mickten, Kaditz, Trachau",1418,11,88,2
2012,06 StB Klotzsche und nördliche OS,1600,9,83,8
2012,07 StB Loschwitz und OS Schönfeld-Weißig,1573,11,76,13
2012,"08 Blasewitz, Striesen",1490,9,82,9
2012,"09 Tolkewitz, Seidnitz, Gruna",1420,14,83,3
2012,10 StB Leuben,1442,14,80,7
2012,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",1198,26,72,2
2012,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",1347,12,83,5
2012,"13 Südvorstadt, Zschertnitz",1491,15,81,4
2012,"14 Mockritz, Coschütz, Plauen",1567,11,79,10
2012,"15 Cotta, Löbtau, Naußlitz, Dölzschen",1360,14,82,4
2012,16 Gorbitz,1155,11,88,1
2012,17 Briesnitz und westliche OS,1576,5,88,7
2012,18 Dresden gesamt,1413,14,81,5
2014,01 StB Altstadt ohne Johannstadt,1280,26,70,4
2014,02 Johannstadt,1400,13,86,1
2014,03 StB Neustadt ohne Leipziger Vorstadt,1400,14,78,9
2014,"04 Leipziger Vorstadt, Pieschen",1390,23,71,6
2014,"05 Mickten, Kaditz, Trachau",1533,9,87,4
2014,06 StB Klotzsche und nördliche OS,1526,9,83,8
2014,07 StB Loschwitz und OS Schönfeld-Weißig,1700,10,80,11
2014,"08 Blasewitz, Striesen",1600,10,81,10
2014,"09 Tolkewitz, Seidnitz, Gruna",1395,17,80,3
2014,10 StB Leuben,1436,16,78,6
2014,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",1056,31,68,2
2014,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",1500,12,82,6
2014,"13 Südvorstadt, Zschertnitz",1300,23,74,4
2014,"14 Mockritz, Coschütz, Plauen",1720,9,83,8
2014,"15 Cotta, Löbtau, Naußlitz, Dölzschen",1420,22,72,6
2014,16 Gorbitz,1113,38,61,1
2014,17 Briesnitz und westliche OS,1600,8,84,8
2014,18 Dresden gesamt,1444,17,77,6
2016,01 StB Altstadt ohne Johannstadt,1500,22,73,6
2016,02 Johannstadt,1545,15,82,4
2016,03 StB Neustadt ohne Leipziger Vorstadt,1667,14,79,7
2016,"04 Leipziger Vorstadt, Pieschen",1600,11,86,3
2016,"05 Mickten, Kaditz, Trachau",1600,8,88,4
2016,06 StB Klotzsche und nördliche OS,1700,7,88,5
2016,07 StB Loschwitz und OS Schönfeld-Weißig,1800,6,80,14
2016,"08 Blasewitz, Striesen",1720,10,80,10
2016,"09 Tolkewitz, Seidnitz, Gruna",1541,16,83,2
2016,10 StB Leuben,1567,14,82,4
2016,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",1200,24,76,0
2016,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",1645,16,78,6
2016,"13 Südvorstadt, Zschertnitz",1533,19,79,3
2016,"14 Mockritz, Coschütz, Plauen",1667,9,84,7
2016,"15 Cotta, Löbtau, Naußlitz, Dölzschen",1509,23,71,6
2016,16 Gorbitz,1200,31,68,1
2016,17 Briesnitz und westliche OS,1627,11,82,7
2016,18 Dresden gesamt,1600,15,80,5
2018,01 StB Altstadt ohne Johannstadt,1600,16,80,4
2018,02 Johannstadt,1620,16,82,3
2018,03 StB Neustadt ohne Leipziger Vorstadt,1867,16,75,9
2018,"04 Leipziger Vorstadt, Pieschen",1667,18,79,3
2018,"05 Mickten, Kaditz, Trachau",1717,13,84,3
2018,06 StB Klotzsche und nördliche OS,1940,11,83,6
2018,07 StB Loschwitz und OS Schönfeld-Weißig,1958,9,79,13
2018,"08 Blasewitz, Striesen",1800,13,79,7
2018,"09 Tolkewitz, Seidnitz, Gruna",1700,9,89,2
2018,10 StB Leuben,1600,19,76,5
2018,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",1400,27,73,0
2018,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",1675,14,82,4
2018,"13 Südvorstadt, Zschertnitz",1652,17,77,6
2018,"14 Mockritz, Coschütz, Plauen",1993,12,85,3
2018,"15 Cotta, Löbtau, Naußlitz, Dölzschen",1600,18,78,4
2018,16 Gorbitz,1393,27,71,3
2018,17 Briesnitz und westliche OS,1800,16,76,8
2018,18 Dresden gesamt,1700,16,79,5
