,Jahr,Stadtraum,Heizungsart,Anteil in %
0,1993,01 StB Altstadt ohne Johannstadt,Fernheizung,79
1,1993,01 StB Altstadt ohne Johannstadt,Zentralheizung oder Etagenheizung,0
2,1993,01 StB Altstadt ohne Johannstadt,Einzelraumheizung,21
3,1993,02 Johannstadt,Fernheizung,69
4,1993,02 Johannstadt,Zentralheizung oder Etagenheizung,2
5,1993,02 Johannstadt,Einzelraumheizung,29
6,1993,03 StB Neustadt ohne Leipziger Vorstadt,Fernheizung,24
7,1993,03 StB Neustadt ohne Leipziger Vorstadt,Zentralheizung oder Etagenheizung,10
8,1993,03 StB Neustadt ohne Leipziger Vorstadt,Einzelraumheizung,67
9,1993,"04 Leipziger Vorstadt, Pieschen",Fernheizung,1
10,1993,"04 Leipziger Vorstadt, Pieschen",Zentralheizung oder Etagenheizung,16
11,1993,"04 Leipziger Vorstadt, Pieschen",Einzelraumheizung,83
12,1993,"05 Mickten, Kaditz, Trachau",Fernheizung,16
13,1993,"05 Mickten, Kaditz, Trachau",Zentralheizung oder Etagenheizung,15
14,1993,"05 Mickten, Kaditz, Trachau",Einzelraumheizung,69
15,1993,06 StB Klotzsche und nördliche OS,Fernheizung,18
16,1993,06 StB Klotzsche und nördliche OS,Zentralheizung oder Etagenheizung,40
17,1993,06 StB Klotzsche und nördliche OS,Einzelraumheizung,42
18,1993,07 StB Loschwitz und OS Schönfeld-Weißig,Fernheizung,1
19,1993,07 StB Loschwitz und OS Schönfeld-Weißig,Zentralheizung oder Etagenheizung,45
20,1993,07 StB Loschwitz und OS Schönfeld-Weißig,Einzelraumheizung,54
21,1993,"08 Blasewitz, Striesen",Fernheizung,17
22,1993,"08 Blasewitz, Striesen",Zentralheizung oder Etagenheizung,12
23,1993,"08 Blasewitz, Striesen",Einzelraumheizung,72
24,1993,"09 Tolkewitz, Seidnitz, Gruna",Fernheizung,48
25,1993,"09 Tolkewitz, Seidnitz, Gruna",Zentralheizung oder Etagenheizung,7
26,1993,"09 Tolkewitz, Seidnitz, Gruna",Einzelraumheizung,45
27,1993,10 StB Leuben,Fernheizung,40
28,1993,10 StB Leuben,Zentralheizung oder Etagenheizung,16
29,1993,10 StB Leuben,Einzelraumheizung,45
30,1993,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Fernheizung,86
31,1993,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Zentralheizung oder Etagenheizung,5
32,1993,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Einzelraumheizung,9
33,1993,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Fernheizung,20
34,1993,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Zentralheizung oder Etagenheizung,34
35,1993,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Einzelraumheizung,46
36,1993,"13 Südvorstadt, Zschertnitz",Fernheizung,57
37,1993,"13 Südvorstadt, Zschertnitz",Zentralheizung oder Etagenheizung,13
38,1993,"13 Südvorstadt, Zschertnitz",Einzelraumheizung,31
39,1993,"14 Mockritz, Coschütz, Plauen",Fernheizung,28
40,1993,"14 Mockritz, Coschütz, Plauen",Zentralheizung oder Etagenheizung,24
41,1993,"14 Mockritz, Coschütz, Plauen",Einzelraumheizung,48
42,1993,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Fernheizung,2
43,1993,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Zentralheizung oder Etagenheizung,15
44,1993,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Einzelraumheizung,84
45,1993,16 Gorbitz,Fernheizung,97
46,1993,16 Gorbitz,Zentralheizung oder Etagenheizung,2
47,1993,16 Gorbitz,Einzelraumheizung,1
48,1993,17 Briesnitz und westliche OS,Fernheizung,2
49,1993,17 Briesnitz und westliche OS,Zentralheizung oder Etagenheizung,39
50,1993,17 Briesnitz und westliche OS,Einzelraumheizung,60
51,1993,18 Dresden gesamt,Fernheizung,41
52,1993,18 Dresden gesamt,Zentralheizung oder Etagenheizung,14
53,1993,18 Dresden gesamt,Einzelraumheizung,46
54,1995,01 StB Altstadt ohne Johannstadt,Fernheizung,81
55,1995,01 StB Altstadt ohne Johannstadt,Zentralheizung oder Etagenheizung,8
56,1995,01 StB Altstadt ohne Johannstadt,Einzelraumheizung,12
57,1995,02 Johannstadt,Fernheizung,73
58,1995,02 Johannstadt,Zentralheizung oder Etagenheizung,4
59,1995,02 Johannstadt,Einzelraumheizung,23
60,1995,03 StB Neustadt ohne Leipziger Vorstadt,Fernheizung,33
61,1995,03 StB Neustadt ohne Leipziger Vorstadt,Zentralheizung oder Etagenheizung,18
62,1995,03 StB Neustadt ohne Leipziger Vorstadt,Einzelraumheizung,49
63,1995,"04 Leipziger Vorstadt, Pieschen",Fernheizung,4
64,1995,"04 Leipziger Vorstadt, Pieschen",Zentralheizung oder Etagenheizung,10
65,1995,"04 Leipziger Vorstadt, Pieschen",Einzelraumheizung,87
66,1995,"05 Mickten, Kaditz, Trachau",Fernheizung,22
67,1995,"05 Mickten, Kaditz, Trachau",Zentralheizung oder Etagenheizung,24
68,1995,"05 Mickten, Kaditz, Trachau",Einzelraumheizung,54
69,1995,06 StB Klotzsche und nördliche OS,Fernheizung,29
70,1995,06 StB Klotzsche und nördliche OS,Zentralheizung oder Etagenheizung,35
71,1995,06 StB Klotzsche und nördliche OS,Einzelraumheizung,36
72,1995,07 StB Loschwitz und OS Schönfeld-Weißig,Fernheizung,2
73,1995,07 StB Loschwitz und OS Schönfeld-Weißig,Zentralheizung oder Etagenheizung,66
74,1995,07 StB Loschwitz und OS Schönfeld-Weißig,Einzelraumheizung,32
75,1995,"08 Blasewitz, Striesen",Fernheizung,23
76,1995,"08 Blasewitz, Striesen",Zentralheizung oder Etagenheizung,21
77,1995,"08 Blasewitz, Striesen",Einzelraumheizung,56
78,1995,"09 Tolkewitz, Seidnitz, Gruna",Fernheizung,52
79,1995,"09 Tolkewitz, Seidnitz, Gruna",Zentralheizung oder Etagenheizung,10
80,1995,"09 Tolkewitz, Seidnitz, Gruna",Einzelraumheizung,38
81,1995,10 StB Leuben,Fernheizung,42
82,1995,10 StB Leuben,Zentralheizung oder Etagenheizung,25
83,1995,10 StB Leuben,Einzelraumheizung,34
84,1995,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Fernheizung,83
85,1995,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Zentralheizung oder Etagenheizung,10
86,1995,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Einzelraumheizung,8
87,1995,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Fernheizung,23
88,1995,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Zentralheizung oder Etagenheizung,48
89,1995,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Einzelraumheizung,30
90,1995,"13 Südvorstadt, Zschertnitz",Fernheizung,65
91,1995,"13 Südvorstadt, Zschertnitz",Zentralheizung oder Etagenheizung,13
92,1995,"13 Südvorstadt, Zschertnitz",Einzelraumheizung,22
93,1995,"14 Mockritz, Coschütz, Plauen",Fernheizung,25
94,1995,"14 Mockritz, Coschütz, Plauen",Zentralheizung oder Etagenheizung,42
95,1995,"14 Mockritz, Coschütz, Plauen",Einzelraumheizung,33
96,1995,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Fernheizung,7
97,1995,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Zentralheizung oder Etagenheizung,26
98,1995,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Einzelraumheizung,67
99,1995,16 Gorbitz,Fernheizung,96
100,1995,16 Gorbitz,Zentralheizung oder Etagenheizung,3
101,1995,16 Gorbitz,Einzelraumheizung,0
102,1995,17 Briesnitz und westliche OS,Fernheizung,4
103,1995,17 Briesnitz und westliche OS,Zentralheizung oder Etagenheizung,51
104,1995,17 Briesnitz und westliche OS,Einzelraumheizung,45
105,1995,18 Dresden gesamt,Fernheizung,43
106,1995,18 Dresden gesamt,Zentralheizung oder Etagenheizung,20
107,1995,18 Dresden gesamt,Einzelraumheizung,36
108,1996,01 StB Altstadt ohne Johannstadt,Fernheizung,93
109,1996,01 StB Altstadt ohne Johannstadt,Zentralheizung oder Etagenheizung,2
110,1996,01 StB Altstadt ohne Johannstadt,Einzelraumheizung,4
111,1996,02 Johannstadt,Fernheizung,84
112,1996,02 Johannstadt,Zentralheizung oder Etagenheizung,6
113,1996,02 Johannstadt,Einzelraumheizung,10
114,1996,03 StB Neustadt ohne Leipziger Vorstadt,Fernheizung,41
115,1996,03 StB Neustadt ohne Leipziger Vorstadt,Zentralheizung oder Etagenheizung,20
116,1996,03 StB Neustadt ohne Leipziger Vorstadt,Einzelraumheizung,39
117,1996,"04 Leipziger Vorstadt, Pieschen",Fernheizung,8
118,1996,"04 Leipziger Vorstadt, Pieschen",Zentralheizung oder Etagenheizung,35
119,1996,"04 Leipziger Vorstadt, Pieschen",Einzelraumheizung,57
120,1996,"05 Mickten, Kaditz, Trachau",Fernheizung,21
121,1996,"05 Mickten, Kaditz, Trachau",Zentralheizung oder Etagenheizung,39
122,1996,"05 Mickten, Kaditz, Trachau",Einzelraumheizung,40
123,1996,06 StB Klotzsche und nördliche OS,Fernheizung,38
124,1996,06 StB Klotzsche und nördliche OS,Zentralheizung oder Etagenheizung,51
125,1996,06 StB Klotzsche und nördliche OS,Einzelraumheizung,12
126,1996,07 StB Loschwitz und OS Schönfeld-Weißig,Fernheizung,3
127,1996,07 StB Loschwitz und OS Schönfeld-Weißig,Zentralheizung oder Etagenheizung,64
128,1996,07 StB Loschwitz und OS Schönfeld-Weißig,Einzelraumheizung,34
129,1996,"08 Blasewitz, Striesen",Fernheizung,39
130,1996,"08 Blasewitz, Striesen",Zentralheizung oder Etagenheizung,27
131,1996,"08 Blasewitz, Striesen",Einzelraumheizung,34
132,1996,"09 Tolkewitz, Seidnitz, Gruna",Fernheizung,59
133,1996,"09 Tolkewitz, Seidnitz, Gruna",Zentralheizung oder Etagenheizung,16
134,1996,"09 Tolkewitz, Seidnitz, Gruna",Einzelraumheizung,25
135,1996,10 StB Leuben,Fernheizung,43
136,1996,10 StB Leuben,Zentralheizung oder Etagenheizung,35
137,1996,10 StB Leuben,Einzelraumheizung,23
138,1996,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Fernheizung,84
139,1996,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Zentralheizung oder Etagenheizung,11
140,1996,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Einzelraumheizung,4
141,1996,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Fernheizung,16
142,1996,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Zentralheizung oder Etagenheizung,64
143,1996,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Einzelraumheizung,19
144,1996,"13 Südvorstadt, Zschertnitz",Fernheizung,61
145,1996,"13 Südvorstadt, Zschertnitz",Zentralheizung oder Etagenheizung,23
146,1996,"13 Südvorstadt, Zschertnitz",Einzelraumheizung,16
147,1996,"14 Mockritz, Coschütz, Plauen",Fernheizung,34
