Statistischer Bezirk;Stützstellen der Isolinien 2017 (cls:L1002)
227;9
622;3
921;15
132;0
764;0
862;0
763;0
559;15
214;0
615;0
568;0
991;3
768;0
865;0
554;0
061;0
211;3
254;3
541;0
477;3
842;0
735;0
998;3
931;6
963;0
145;0
242;0
773;0
964;0
522;3
578;0
245;3
835;0
074;3
625;9
814;0
244;0
051;18
318;0
813;6
832;0
924;0
454;3
985;3
861;3
851;21
815;3
577;0
313;0
363;0
818;0
742;21
451;6
215;0
226;6
558;0
052;3
755;3
916;3
131;9
765;0
774;3
032;6
036;24
353;3
076;0
241;0
982;9
864;0
868;3
255;3
474;6
542;3
146;3
845;6
317;0
769;0
952;0
557;0
772;0
356;3
465;6
734;3
825;0
569;0
312;0
364;3
624;6
221;0
904;0
455;0
986;3
072;0
852;12
935;0
901;15
754;0
766;0
743;3
819;0
844;12
737;0
475;9
543;0
936;0
212;3
961;0
993;9
824;6
352;3
753;0
816;0
078;0
316;0
767;0
911;0
523;0
965;0
556;0
053;18
905;0
836;0
324;0
073;0
067;3
355;0
617;0
464;0
576;6
311;0
833;0
902;3
321;12
538;6
925;0
472;3
736;0
141;6
867;0
995;3
951;3
915;0
955;0
033;9
853;3
223;3
452;0
077;0
823;0
983;0
247;0
752;3
817;0
331;18
441;15
213;0
063;3
611;3
545;0
922;3
992;3
351;3
966;0
731;3
514;0
111;0
759;0
626;6
079;0
846;0
517;0
473;0
144;0
934;3
994;3
315;0
054;9
361;15
715;0
906;0
621;9
841;0
725;0
251;9
546;0
751;0
222;0
478;0
616;0
154;3
142;0
822;6
908;3
744;3
228;9
837;0
758;0
225;15
134;0
256;0
761;0
923;3
933;6
997;3
143;0
866;0
555;3
914;0
034;9
062;0
733;0
811;0
863;0
714;0
516;0
113;0
821;3
909;3
762;0
471;3
771;3
246;3
757;0
579;3
623;6
224;0
133;15
932;9
996;6
243;0
967;3
314;0
055;24
362;6
984;0
907;12
257;3
476;6
834;0
614;15
843;0
953;0
071;3
732;3
112;0
332;3
756;9
962;0
812;0
981;21
232;3
035;18
644;0
643;0
122;12
978;0
511;0
721;0
414;0
524;0
114;3
726;0
342;0
572;0
563;3
428;0
233;21
975;0
123;15
972;0
421;3
533;0
151;3
115;0
973;0
723;0
422;0
041;15
958;0
252;3
944;0
722;0
525;9
612;12
642;3
513;6
561;9
571;3
121;0
431;6
253;0
945;6
544;0
069;0
613;0
641;0
724;3
971;0
532;0
043;3
946;12
153;9
068;6
341;15
512;6
117;0
152;15
515;0
116;0
518;0
531;3
042;0
427;0
631;9
234;3
025;3
434;15
977;0
011;21
426;3
045;3
632;0
435;3
954;0
453;0
012;33
411;0
066;0
976;0
551;15
354;3
566;0
838;0
425;0
537;0
044;3
463;3
575;0
521;3
957;0
903;39
741;3
941;0
713;0
322;6
075;0
618;3
727;0
024;3
536;3
633;9
031;15
567;6
839;0
526;3
424;0
047;3
913;0
412;12
065;0
249;9
432;12
574;0
831;12
942;0
462;3
323;3
956;0
619;9
728;0
023;3
553;0
634;33
564;6
974;0
535;0
712;3
912;3
413;0
064;0
046;3
646;15
022;3
527;3
248;0
433;6
461;3
573;0
124;0
565;0
118;3
534;0
645;3
423;3
943;0
711;3
552;0
021;3
231;3
562;0
429;0
