Statistischer Bezirk;Auslagestellen Amtsblatt (cls:L467)
227;2
622;0
921;4
132;6
764;0
862;0
763;2
559;0
214;0
615;2
568;0
991;2
768;0
865;8
554;0
061;4
211;2
254;0
541;10
477;0
842;0
735;0
998;0
931;6
963;0
145;0
242;0
773;4
964;0
522;4
578;2
245;2
835;10
074;0
625;2
814;0
244;2
051;4
318;0
813;6
832;0
924;2
454;4
985;6
861;2
851;4
815;0
577;2
313;0
363;0
818;2
742;4
451;0
215;0
226;0
558;0
052;2
755;4
916;0
131;12
765;2
774;6
032;0
036;4
353;6
076;0
241;0
982;0
864;0
868;0
255;0
474;4
542;0
146;4
845;2
317;4
769;0
952;0
557;0
772;0
356;0
465;2
734;0
825;0
569;0
312;0
364;0
624;6
221;2
904;0
455;0
986;0
072;0
852;4
935;0
901;10
754;0
766;2
743;10
819;2
844;0
737;0
475;0
543;4
936;0
212;0
961;0
993;4
824;4
352;0
753;0
816;2
078;0
316;8
767;6
911;8
523;2
965;4
556;0
053;4
905;0
836;2
324;4
073;6
067;4
355;0
617;0
464;0
576;12
311;10
833;2
902;0
321;2
538;8
925;4
472;2
736;0
141;2
867;0
995;0
951;8
915;4
955;0
033;2
853;2
223;0
452;6
077;0
823;2
983;2
247;0
752;2
817;10
331;10
441;0
213;12
063;0
611;8
545;4
922;18
992;0
351;4
966;0
731;4
514;4
111;8
759;0
626;4
079;2
846;0
517;2
473;0
144;4
934;0
994;0
315;4
054;2
361;2
715;12
906;2
621;4
841;4
725;2
251;2
546;0
751;0
222;0
478;0
616;0
154;0
142;2
822;10
908;0
744;0
228;0
837;0
758;2
225;2
134;8
256;0
761;12
923;4
933;2
997;0
143;0
866;0
555;0
914;0
034;4
062;4
733;0
811;8
863;0
714;2
516;0
113;8
821;2
909;0
762;6
471;6
771;4
246;2
757;0
579;0
623;2
224;0
133;14
932;12
996;0
243;2
967;0
314;6
055;6
362;4
984;8
907;0
257;4
476;0
834;0
614;16
843;0
953;0
071;4
732;4
112;2
332;0
756;8
962;2
812;0
981;6
232;0
035;2
644;0
643;0
122;2
978;0
511;2
721;0
414;2
524;0
114;6
726;0
342;2
572;4
563;6
428;0
233;4
975;2
123;6
972;2
421;4
533;2
151;0
115;2
973;0
723;0
422;0
041;24
958;6
252;4
944;0
722;0
525;4
612;2
642;0
513;0
561;4
571;0
121;0
431;0
253;0
945;0
544;8
069;0
613;2
641;4
724;4
971;2
532;4
043;12
946;2
153;4
068;12
341;2
512;28
117;4
152;16
515;0
116;2
518;0
531;4
042;6
427;2
631;2
234;0
025;0
434;0
977;0
011;24
426;0
045;0
632;4
435;0
954;6
453;4
012;6
411;0
066;8
976;0
551;0
354;0
566;0
838;0
425;10
537;0
044;6
463;0
575;0
521;0
957;0
903;2
741;0
941;4
713;0
322;6
075;0
618;0
727;0
024;2
536;6
633;0
031;24
567;0
839;0
526;2
424;2
047;2
913;0
412;12
065;0
249;0
432;2
574;0
831;12
942;2
462;2
323;2
956;0
619;4
728;2
023;4
553;2
634;0
564;4
974;0
535;0
712;0
912;4
413;0
064;0
046;0
646;2
022;0
527;8
248;4
433;10
461;2
573;0
124;0
565;0
118;0
534;2
645;4
423;2
943;0
711;0
552;0
021;10
231;6
562;0
429;0
