Statistischer Bezirk;Bodenrichtwerte (cls:L298)
227;4
622;4
921;4
132;4
764;0
862;0
763;4
559;0
214;0
615;0
568;0
991;0
768;0
865;4
554;0
061;4
211;0
254;4
541;4
477;0
842;0
735;0
998;0
931;4
963;0
145;4
242;0
773;0
964;0
522;0
578;4
245;4
835;0
074;0
625;0
814;4
244;0
051;4
318;0
813;0
832;0
924;0
454;0
985;4
861;4
851;0
815;4
577;0
313;4
363;0
818;0
742;4
451;0
215;0
226;4
558;0
052;4
755;4
916;0
131;16
765;4
774;0
032;0
036;0
353;0
076;0
241;0
982;4
864;0
868;4
255;0
474;0
542;0
146;0
845;8
317;0
769;0
952;0
557;0
772;0
356;0
465;0
734;4
825;0
569;0
312;0
364;0
624;8
221;4
904;0
455;0
986;0
072;8
852;4
935;0
901;0
754;0
766;0
743;12
819;0
844;4
737;0
475;0
543;0
936;0
212;0
961;0
993;0
824;0
352;0
753;0
816;0
078;0
316;4
767;0
911;0
523;0
965;0
556;0
053;0
905;0
836;0
324;4
073;4
067;0
355;0
617;0
464;0
576;0
311;0
833;0
902;0
321;8
538;4
925;4
472;0
736;0
141;8
867;0
995;0
951;0
915;8
955;0
033;4
853;4
223;8
452;0
077;4
823;4
983;4
247;0
752;8
817;4
331;4
441;0
213;0
063;0
611;4
545;4
922;4
992;0
351;0
966;0
731;4
514;4
111;4
759;0
626;4
079;0
846;4
517;0
473;0
144;0
934;0
994;0
315;4
054;4
361;0
715;0
906;0
621;0
841;0
725;0
251;0
546;0
751;4
222;0
478;0
616;0
154;0
142;0
822;4
908;0
744;0
228;0
837;0
758;0
225;4
134;0
256;4
761;8
923;0
933;0
997;0
143;4
866;0
555;0
914;0
034;8
062;0
733;8
811;4
863;0
714;0
516;0
113;0
821;0
909;0
762;0
471;0
771;0
246;0
757;0
579;0
623;0
224;0
133;4
932;8
996;0
243;0
967;0
314;4
055;0
362;0
984;4
907;0
257;4
476;0
834;0
614;12
843;0
953;0
071;0
732;4
112;0
332;0
756;4
962;0
812;0
981;4
232;0
035;0
644;0
643;0
122;4
978;0
511;4
721;0
414;4
524;4
114;0
726;0
342;0
572;0
563;0
428;4
233;8
975;0
123;4
972;0
421;8
533;0
151;0
115;0
973;0
723;0
422;0
041;20
958;4
252;4
944;0
722;0
525;0
612;0
642;4
513;0
561;4
571;4
121;4
431;4
253;0
945;4
544;4
069;0
613;0
641;0
724;0
971;0
532;4
043;8
946;8
153;0
068;0
341;0
512;8
117;0
152;4
515;4
116;0
518;0
531;4
042;4
427;4
631;4
234;0
025;8
434;4
977;0
011;32
426;4
045;4
632;4
435;4
954;0
453;0
012;16
411;4
066;0
976;0
551;0
354;0
566;4
838;0
425;8
537;0
044;0
463;0
575;0
521;0
957;0
903;0
741;4
941;4
713;0
322;4
075;0
618;0
727;0
024;0
536;0
633;4
031;16
567;0
839;0
526;0
424;8
047;0
913;0
412;20
065;4
249;0
432;8
574;0
831;4
942;4
462;0
323;8
956;0
619;0
728;0
023;0
553;4
634;4
564;4
974;0
535;0
712;0
912;0
413;8
064;0
046;4
646;4
022;4
527;8
248;0
433;4
461;0
573;0
124;0
565;0
118;0
534;4
645;4
423;4
943;0
711;4
552;0
021;12
231;4
562;0
429;0
