Statistischer Bezirk;Bodenrichtwertzonen 2017 - Beschriftung (cls:L682)
227;16
622;4
921;8
132;4
764;8
862;8
763;4
559;0
214;8
615;0
568;0
991;16
768;0
865;8
554;0
061;0
211;4
254;12
541;4
477;4
842;4
735;0
998;16
931;0
963;0
145;0
242;4
773;0
964;4
522;0
578;0
245;0
835;4
074;0
625;16
814;8
244;0
051;8
318;4
813;8
832;0
924;4
454;20
985;44
861;8
851;24
815;0
577;4
313;4
363;12
818;0
742;28
451;24
215;4
226;12
558;4
052;0
755;16
916;8
131;16
765;12
774;8
032;0
036;0
353;12
076;4
241;12
982;12
864;0
868;0
255;8
474;8
542;0
146;12
845;32
317;4
769;0
952;0
557;0
772;4
356;4
465;16
734;8
825;0
569;0
312;4
364;20
624;12
221;4
904;4
455;4
986;8
072;4
852;28
935;4
901;24
754;0
766;4
743;24
819;4
844;12
737;0
475;8
543;0
936;0
212;4
961;0
993;20
824;8
352;12
753;4
816;0
078;0
316;20
767;4
911;16
523;0
965;0
556;0
053;0
905;12
836;8
324;24
073;4
067;4
355;16
617;4
464;8
576;12
311;24
833;0
902;28
321;16
538;16
925;4
472;8
736;0
141;12
867;8
995;4
951;0
915;8
955;0
033;8
853;36
223;4
452;12
077;4
823;16
983;32
247;8
752;36
817;12
331;4
441;0
213;0
063;0
611;4
545;4
922;16
992;12
351;24
966;0
731;16
514;4
111;12
759;24
626;12
079;0
846;4
517;4
473;4
144;4
934;0
994;8
315;12
054;16
361;20
715;4
906;16
621;4
841;4
725;0
251;12
546;4
751;8
222;4
478;4
616;0
154;0
142;4
822;8
908;4
744;4
228;0
837;0
758;4
225;24
134;4
256;8
761;12
923;0
933;12
997;4
143;4
866;4
555;4
914;8
034;8
062;4
733;4
811;0
863;4
714;0
516;4
113;0
821;4
909;16
762;12
471;12
771;4
246;8
757;4
579;4
623;8
224;4
133;8
932;4
996;4
243;4
967;0
314;36
055;4
362;24
984;12
907;8
257;24
476;4
834;4
614;4
843;0
953;0
071;0
732;12
112;0
332;0
756;12
962;4
812;0
981;24
232;24
035;4
644;4
643;4
122;12
978;0
511;4
721;0
414;12
524;0
114;0
726;0
342;4
572;4
563;8
428;12
233;36
975;4
123;36
972;0
421;16
533;4
151;0
115;0
973;0
723;0
422;12
041;12
958;12
252;8
944;12
722;0
525;4
612;8
642;0
513;0
561;16
571;4
121;8
431;8
253;8
945;56
544;4
069;0
613;8
641;16
724;0
971;8
532;4
043;4
946;32
153;4
068;4
341;8
512;20
117;4
152;16
515;12
116;0
518;0
531;4
042;4
427;12
631;20
234;4
025;4
434;12
977;4
011;28
426;4
045;4
632;4
435;4
954;0
453;12
012;24
411;4
066;4
976;0
551;12
354;36
566;12
838;0
425;24
537;4
044;4
463;20
575;0
521;0
957;0
903;16
741;16
941;4
713;0
322;28
075;0
618;0
727;0
024;0
536;12
633;20
031;32
567;4
839;4
526;0
424;12
047;0
913;4
412;36
065;0
249;4
432;8
574;0
831;16
942;8
462;8
323;16
956;0
619;8
728;0
023;4
553;4
634;24
564;20
974;0
535;0
712;0
912;12
413;0
064;0
046;0
646;16
022;4
527;12
248;20
433;12
461;16
573;4
124;8
565;0
118;12
534;4
645;8
423;4
943;4
711;12
552;4
021;4
231;8
562;4
429;8
