Statistischer Bezirk;Bahnhöfe, weitere (cls:L50);Infrastruktur (cls:L51)
227;0;2
622;0;1
921;0;0
132;0;4
764;0;0
862;0;0
763;0;0
559;0;0
214;0;0
615;0;1
568;0;0
991;0;1
768;0;0
865;0;1
554;0;0
061;0;0
211;0;0
254;0;2
541;0;2
477;0;4
842;0;0
735;0;0
998;0;2
931;0;1
963;0;0
145;0;3
242;0;0
773;0;0
964;0;1
522;0;0
578;0;0
245;0;1
835;0;0
074;0;0
625;0;0
814;0;0
244;0;0
051;0;2
318;0;0
813;0;1
832;0;0
924;0;0
454;0;3
985;0;0
861;0;0
851;0;2
815;0;0
577;0;1
313;0;3
363;0;0
818;0;1
742;0;9
451;0;2
215;0;2
226;0;0
558;0;0
052;0;1
755;0;1
916;0;0
131;0;6
765;0;1
774;0;1
032;0;0
036;0;4
353;1;2
076;0;0
241;0;0
982;1;1
864;0;0
868;0;0
255;0;0
474;0;9
542;0;0
146;0;0
845;0;2
317;0;1
769;0;0
952;0;0
557;0;0
772;0;0
356;0;1
465;0;0
734;0;0
825;0;1
569;0;0
312;0;0
364;0;3
624;0;0
221;0;0
904;1;3
455;0;2
986;0;1
072;0;0
852;0;1
935;0;0
901;1;3
754;0;0
766;0;0
743;0;3
819;0;2
844;0;1
737;0;0
475;0;0
543;0;0
936;0;0
212;0;3
961;0;1
993;0;5
824;0;0
352;0;0
753;0;0
816;0;0
078;0;0
316;1;6
767;0;0
911;1;2
523;0;0
965;0;0
556;0;0
053;0;2
905;0;2
836;0;0
324;0;0
073;0;0
067;0;1
355;0;6
617;0;0
464;0;2
576;0;1
311;0;4
833;0;0
902;0;3
321;0;7
538;0;3
925;0;0
472;0;5
736;0;0
141;0;4
867;0;0
995;0;0
951;0;0
915;0;0
955;0;0
033;0;0
853;0;3
223;0;0
452;0;2
077;0;1
823;0;3
983;0;1
247;0;0
752;0;2
817;0;3
331;2;7
441;0;12
213;0;6
063;0;0
611;0;4
545;0;0
922;0;1
992;0;0
351;0;0
966;0;0
731;0;1
514;0;1
111;0;2
759;0;0
626;0;0
079;0;1
846;0;0
517;0;1
473;0;1
144;0;0
934;0;1
994;0;1
315;0;2
054;1;7
361;1;8
715;0;1
906;0;5
621;0;1
841;0;0
725;0;0
251;0;1
546;0;0
751;0;1
222;0;0
478;0;0
616;0;0
154;0;0
142;0;0
822;0;1
908;0;0
744;0;0
228;0;0
837;0;0
758;0;0
225;0;1
134;0;5
256;0;0
761;0;3
923;0;0
933;0;0
997;0;7
143;1;1
866;1;3
555;0;0
914;0;0
034;1;1
062;0;0
733;0;0
811;0;2
863;0;0
714;0;0
516;0;1
113;0;3
821;0;1
909;0;4
762;0;1
471;0;8
771;0;1
246;1;3
757;0;0
579;0;0
623;0;0
224;0;0
133;0;1
932;0;1
996;0;2
243;0;0
967;0;1
314;0;0
055;0;4
362;0;0
984;0;1
907;0;2
257;0;1
476;0;0
834;0;0
614;1;1
843;0;0
953;0;0
071;0;1
732;0;2
112;0;1
332;0;0
756;0;0
962;0;1
812;0;1
981;1;3
232;0;1
035;5;9
644;0;0
643;0;0
122;0;4
978;0;0
511;0;1
721;0;0
414;0;1
524;0;0
114;0;4
726;0;0
342;0;0
572;0;0
563;0;1
428;0;0
233;0;2
975;0;0
123;0;3
972;0;0
421;0;4
533;0;0
151;0;0
115;0;5
973;0;0
723;0;0
422;0;1
041;0;5
958;0;2
252;1;3
944;0;2
722;0;0
525;0;2
612;0;0
642;0;0
513;0;0
561;1;2
571;0;0
121;0;1
431;0;1
253;0;0
945;0;6
544;0;0
069;0;1
613;0;0
641;0;0
724;0;3
971;0;0
532;0;0
043;1;9
946;0;3
153;0;3
068;0;3
341;0;4
512;0;4
117;0;0
152;1;5
515;0;0
116;0;3
518;0;0
531;0;0
042;0;2
427;0;3
631;0;0
234;0;0
025;0;2
434;0;1
977;0;0
011;0;14
426;0;0
045;0;0
632;0;1
435;0;0
954;0;1
453;0;2
012;0;4
411;0;1
066;0;0
976;0;0
551;0;1
354;1;8
566;0;1
838;0;0
425;0;1
537;0;0
044;0;0
463;0;3
575;0;0
521;0;0
957;0;0
903;0;5
741;0;2
941;0;1
713;0;0
322;0;5
075;0;0
618;0;0
727;0;0
024;0;0
536;0;0
633;0;2
031;0;5
567;0;1
839;0;0
526;0;0
424;0;3
047;0;0
913;0;0
412;0;13
065;0;0
249;0;2
432;0;2
574;0;0
831;0;4
942;0;0
462;0;0
323;0;4
956;0;0
619;0;1
728;0;1
023;0;0
553;0;0
634;0;3
564;1;2
974;0;0
535;0;0
712;0;1
912;0;4
413;0;0
064;0;0
046;0;0
646;1;2
022;0;0
527;0;0
248;0;2
433;0;14
461;0;0
573;0;0
124;0;0
565;0;0
118;0;0
534;0;0
645;0;0
423;0;0
943;0;0
711;0;0
552;0;0
021;0;1
231;0;2
562;0;0
429;0;0
