Statistischer Bezirk;Dominanten im Landschaftsbild (cls:L971)
227;6
622;0
921;12
132;6
764;0
862;0
763;0
559;0
214;0
615;0
568;0
991;6
768;0
865;6
554;0
061;3
211;0
254;0
541;6
477;0
842;0
735;0
998;6
931;0
963;0
145;6
242;0
773;0
964;0
522;0
578;0
245;0
835;6
074;0
625;6
814;0
244;0
051;0
318;0
813;0
832;0
924;0
454;0
985;0
861;0
851;0
815;0
577;0
313;6
363;0
818;0
742;12
451;0
215;6
226;0
558;0
052;3
755;6
916;0
131;21
765;0
774;0
032;0
036;6
353;0
076;0
241;0
982;0
864;0
868;0
255;0
474;0
542;0
146;0
845;0
317;0
769;0
952;0
557;0
772;0
356;6
465;6
734;0
825;6
569;0
312;0
364;0
624;0
221;0
904;12
455;0
986;0
072;0
852;0
935;0
901;0
754;0
766;0
743;0
819;0
844;0
737;0
475;6
543;0
936;0
212;0
961;0
993;18
824;0
352;0
753;0
816;0
078;6
316;6
767;0
911;6
523;0
965;0
556;0
053;12
905;0
836;0
324;0
073;0
067;0
355;12
617;0
464;0
576;6
311;0
833;0
902;6
321;0
538;6
925;0
472;3
736;6
141;6
867;0
995;0
951;6
915;0
955;0
033;6
853;0
223;0
452;0
077;6
823;12
983;6
247;0
752;6
817;12
331;0
441;9
213;6
063;3
611;6
545;0
922;6
992;0
351;0
966;0
731;0
514;6
111;0
759;0
626;0
079;0
846;0
517;0
473;0
144;0
934;0
994;0
315;0
054;0
361;3
715;0
906;0
621;0
841;0
725;6
251;6
546;0
751;0
222;0
478;3
616;0
154;0
142;0
822;0
908;0
744;0
228;0
837;0
758;0
225;0
134;6
256;0
761;12
923;0
933;0
997;0
143;0
866;6
555;0
914;0
034;6
062;3
733;0
811;6
863;0
714;0
516;0
113;0
821;6
909;6
762;6
471;6
771;0
246;6
757;0
579;0
623;0
224;0
133;6
932;0
996;0
243;0
967;6
314;0
055;36
362;0
984;0
907;0
257;0
476;0
834;0
614;0
843;0
953;0
071;3
732;0
112;0
332;0
756;0
962;0
812;0
981;0
232;0
035;3
644;6
643;0
122;0
978;0
511;0
721;6
414;12
524;0
114;0
726;0
342;6
572;0
563;0
428;0
233;6
975;0
123;18
972;0
421;0
533;0
151;0
115;0
973;0
723;0
422;0
041;12
958;0
252;0
944;0
722;0
525;6
612;0
642;6
513;0
561;18
571;0
121;0
431;6
253;0
945;0
544;0
069;0
613;0
641;0
724;0
971;0
532;0
043;12
946;6
153;0
068;6
341;12
512;3
117;0
152;15
515;0
116;6
518;0
531;0
042;6
427;0
631;0
234;0
025;12
434;0
977;0
011;30
426;0
045;0
632;0
435;0
954;0
453;0
012;24
411;24
066;0
976;0
551;6
354;3
566;0
838;0
425;0
537;0
044;0
463;0
575;0
521;0
957;0
903;12
741;0
941;0
713;0
322;6
075;0
618;12
727;0
024;0
536;6
633;0
031;0
567;0
839;0
526;0
424;0
047;0
913;0
412;12
065;0
249;0
432;12
574;0
831;6
942;0
462;0
323;6
956;0
619;0
728;0
023;0
553;0
634;0
564;6
974;0
535;6
712;0
912;6
413;6
064;6
046;0
646;0
022;6
527;0
248;0
433;12
461;0
573;0
124;6
565;0
118;0
534;0
645;0
423;0
943;0
711;0
552;0
021;0
231;6
562;0
429;0
