Statistischer Bezirk;Fahrscheinautomaten (cls:L1086)
227;0
622;0
921;0
132;1
764;0
862;0
763;0
559;0
214;0
615;0
568;0
991;0
768;1
865;1
554;1
061;1
211;1
254;0
541;0
477;0
842;0
735;0
998;0
931;1
963;0
145;0
242;0
773;1
964;0
522;1
578;0
245;0
835;1
074;0
625;0
814;1
244;2
051;0
318;0
813;0
832;0
924;0
454;1
985;0
861;1
851;0
815;1
577;0
313;0
363;0
818;0
742;1
451;0
215;0
226;0
558;0
052;0
755;1
916;0
131;3
765;0
774;0
032;0
036;0
353;0
076;0
241;0
982;0
864;0
868;0
255;0
474;0
542;1
146;0
845;0
317;0
769;0
952;0
557;0
772;0
356;0
465;0
734;0
825;0
569;1
312;1
364;0
624;1
221;0
904;0
455;0
986;0
072;1
852;1
935;0
901;1
754;0
766;0
743;0
819;0
844;0
737;0
475;0
543;0
936;0
212;0
961;0
993;2
824;1
352;0
753;0
816;1
078;0
316;0
767;0
911;1
523;0
965;0
556;0
053;0
905;0
836;0
324;1
073;1
067;0
355;0
617;0
464;0
576;2
311;0
833;1
902;0
321;0
538;1
925;0
472;0
736;1
141;0
867;0
995;0
951;1
915;1
955;0
033;0
853;0
223;1
452;0
077;0
823;0
983;0
247;0
752;1
817;2
331;1
441;0
213;1
063;1
611;1
545;0
922;0
992;0
351;0
966;0
731;0
514;0
111;2
759;0
626;0
079;1
846;0
517;1
473;0
144;0
934;0
994;0
315;1
054;0
361;0
715;0
906;0
621;1
841;0
725;0
251;1
546;2
751;0
222;0
478;0
616;0
154;0
142;0
822;0
908;0
744;0
228;0
837;0
758;0
225;3
134;2
256;0
761;2
923;0
933;1
997;0
143;0
866;0
555;0
914;1
034;3
062;1
733;0
811;1
863;1
714;0
516;0
113;0
821;0
909;0
762;1
471;0
771;2
246;0
757;0
579;0
623;0
224;0
133;2
932;0
996;0
243;0
967;0
314;0
055;0
362;0
984;1
907;0
257;0
476;0
834;0
614;1
843;1
953;0
071;0
732;0
112;0
332;0
756;1
962;0
812;0
981;0
232;0
035;0
644;0
643;0
122;0
978;0
511;0
721;1
414;0
524;0
114;0
726;0
342;0
572;1
563;0
428;0
233;0
975;0
123;2
972;0
421;1
533;0
151;0
115;0
973;0
723;0
422;1
041;1
958;1
252;2
944;0
722;1
525;0
612;1
642;0
513;0
561;0
571;0
121;0
431;0
253;1
945;0
544;0
069;0
613;0
641;0
724;1
971;0
532;0
043;1
946;0
153;0
068;1
341;0
512;2
117;1
152;1
515;0
116;0
518;0
531;0
042;0
427;0
631;1
234;1
025;0
434;0
977;0
011;5
426;1
045;0
632;1
435;0
954;1
453;0
012;2
411;0
066;1
976;0
551;1
354;0
566;2
838;0
425;0
537;0
044;0
463;0
575;0
521;0
957;0
903;0
741;0
941;1
713;0
322;0
075;0
618;1
727;0
024;0
536;0
633;0
031;5
567;0
839;0
526;0
424;0
047;0
913;0
412;3
065;0
249;0
432;0
574;0
831;1
942;0
462;0
323;0
956;0
619;0
728;1
023;0
553;0
634;0
564;1
974;0
535;1
712;0
912;1
413;1
064;0
046;1
646;0
022;0
527;1
248;1
433;0
461;0
573;0
124;0
565;0
118;0
534;0
645;0
423;0
943;0
711;0
552;0
021;2
231;0
562;0
429;0
