Statistischer Bezirk;Freizeiteinrichtungen (cls:L1100)
227;1
622;0
921;0
132;0
764;0
862;0
763;0
559;0
214;1
615;0
568;0
991;0
768;2
865;1
554;0
061;2
211;1
254;0
541;1
477;0
842;1
735;0
998;0
931;3
963;0
145;1
242;0
773;1
964;0
522;0
578;0
245;0
835;0
074;0
625;0
814;0
244;1
051;1
318;0
813;1
832;0
924;0
454;2
985;0
861;0
851;0
815;0
577;1
313;0
363;0
818;0
742;0
451;0
215;0
226;0
558;1
052;3
755;0
916;0
131;0
765;0
774;0
032;0
036;1
353;0
076;1
241;0
982;0
864;0
868;0
255;0
474;0
542;2
146;0
845;0
317;1
769;0
952;0
557;0
772;0
356;0
465;0
734;0
825;0
569;0
312;0
364;0
624;1
221;0
904;0
455;2
986;0
072;0
852;0
935;0
901;0
754;1
766;0
743;0
819;0
844;0
737;0
475;0
543;0
936;0
212;0
961;0
993;0
824;1
352;0
753;1
816;0
078;0
316;0
767;1
911;0
523;1
965;0
556;0
053;1
905;0
836;0
324;0
073;0
067;0
355;0
617;0
464;0
576;2
311;0
833;0
902;1
321;0
538;0
925;0
472;0
736;0
141;2
867;0
995;0
951;1
915;0
955;0
033;0
853;0
223;0
452;0
077;0
823;0
983;0
247;0
752;0
817;0
331;0
441;0
213;2
063;0
611;0
545;0
922;3
992;0
351;0
966;0
731;0
514;0
111;2
759;0
626;0
079;0
846;0
517;0
473;0
144;0
934;0
994;0
315;2
054;0
361;0
715;0
906;0
621;0
841;0
725;0
251;0
546;0
751;0
222;0
478;0
616;0
154;0
142;0
822;0
908;0
744;1
228;0
837;0
758;0
225;1
134;6
256;0
761;2
923;1
933;0
997;0
143;0
866;3
555;1
914;0
034;1
062;0
733;0
811;1
863;0
714;0
516;0
113;0
821;0
909;0
762;0
471;0
771;0
246;1
757;0
579;0
623;0
224;0
133;3
932;0
996;0
243;0
967;0
314;1
055;0
362;0
984;1
907;0
257;0
476;0
834;0
614;1
843;0
953;1
071;0
732;0
112;1
332;0
756;0
962;0
812;0
981;0
232;0
035;3
644;1
643;0
122;0
978;0
511;1
721;1
414;0
524;0
114;1
726;0
342;0
572;0
563;0
428;0
233;0
975;0
123;2
972;0
421;0
533;0
151;0
115;3
973;0
723;2
422;0
041;5
958;0
252;3
944;0
722;1
525;1
612;1
642;0
513;0
561;0
571;0
121;0
431;0
253;0
945;0
544;0
069;0
613;0
641;0
724;0
971;1
532;0
043;0
946;0
153;0
068;1
341;0
512;0
117;0
152;1
515;0
116;2
518;0
531;1
042;1
427;0
631;0
234;0
025;0
434;0
977;0
011;4
426;0
045;0
632;0
435;0
954;0
453;0
012;0
411;0
066;0
976;1
551;0
354;1
566;0
838;0
425;1
537;0
044;0
463;0
575;0
521;0
957;0
903;0
741;0
941;0
713;0
322;0
075;1
618;1
727;1
024;0
536;0
633;0
031;0
567;1
839;0
526;2
424;0
047;0
913;0
412;0
065;0
249;0
432;0
574;0
831;0
942;0
462;0
323;0
956;1
619;0
728;0
023;0
553;0
634;0
564;0
974;0
535;0
712;1
912;0
413;0
064;0
046;1
646;0
022;1
527;1
248;0
433;0
461;0
573;0
124;1
565;0
118;1
534;0
645;0
423;0
943;0
711;0
552;0
021;1
231;1
562;0
429;0
