Statistischer Bezirk;Beratungs- und Vermittlungsstellen (cls:L605);Horte (cls:L606);Kindertagesstätten (cls:L608)
227;0;0;6
622;0;3;6
921;0;0;0
132;0;0;3
764;0;0;0
862;0;3;3
763;0;0;0
559;0;0;0
214;0;0;3
615;0;0;6
568;0;0;0
991;0;3;0
768;0;0;6
865;0;0;3
554;0;0;0
061;0;0;0
211;0;0;0
254;0;0;9
541;0;0;0
477;0;0;3
842;0;0;0
735;0;0;3
998;0;0;3
931;0;3;6
963;0;3;3
145;0;3;12
242;0;0;0
773;0;0;0
964;0;0;3
522;0;3;0
578;0;0;0
245;0;0;3
835;0;0;3
074;0;0;0
625;0;0;0
814;0;0;0
244;0;0;0
051;0;0;3
318;0;0;6
813;0;6;3
832;0;0;0
924;0;0;6
454;0;3;6
985;0;0;6
861;0;0;3
851;0;0;3
815;0;0;0
577;0;0;0
313;0;0;9
363;0;0;0
818;0;0;0
742;0;0;3
451;0;0;0
215;0;0;6
226;0;0;0
558;0;0;9
052;0;3;0
755;0;3;0
916;0;0;0
131;0;0;0
765;0;0;3
774;0;0;0
032;0;0;0
036;0;3;0
353;0;6;3
076;0;0;6
241;0;3;3
982;0;0;0
864;0;0;3
868;0;0;0
255;0;0;3
474;0;0;3
542;0;0;6
146;0;0;6
845;0;0;0
317;0;0;3
769;0;0;0
952;0;0;0
557;0;0;0
772;0;0;0
356;0;0;0
465;0;0;0
734;0;3;6
825;0;0;3
569;0;0;0
312;0;0;0
364;0;0;3
624;0;0;6
221;0;0;0
904;0;0;0
455;0;0;3
986;0;3;3
072;0;0;6
852;0;0;6
935;0;0;0
901;0;3;3
754;0;0;3
766;0;3;3
743;0;0;6
819;0;0;3
844;0;3;0
737;0;0;0
475;0;0;0
543;0;0;0
936;0;0;0
212;0;6;6
961;0;0;0
993;0;0;3
824;0;0;3
352;0;0;0
753;0;0;0
816;0;0;3
078;0;0;0
316;0;0;6
767;0;0;0
911;0;0;12
523;0;0;3
965;0;0;0
556;0;0;0
053;0;3;9
905;0;0;3
836;0;0;3
324;0;0;3
073;0;0;0
067;0;0;3
355;0;0;0
617;0;0;0
464;0;0;0
576;0;0;0
311;0;0;6
833;0;0;0
902;0;0;0
321;0;0;3
538;0;0;0
925;0;3;0
472;0;0;3
736;0;0;6
141;0;3;0
867;0;0;0
995;0;0;0
951;0;3;0
915;0;0;6
955;0;0;0
033;0;3;6
853;0;3;0
223;0;0;0
452;0;0;0
077;0;0;3
823;0;0;6
983;0;3;3
247;0;0;3
752;0;0;3
817;0;0;3
331;0;0;0
441;0;0;0
213;3;3;9
063;0;3;9
611;0;0;0
545;0;3;12
922;0;0;3
992;0;0;0
351;0;0;0
966;0;0;0
731;0;0;3
514;3;3;6
111;0;0;0
759;0;0;0
626;0;0;0
079;0;0;0
846;0;0;0
517;0;0;3
473;0;0;0
144;0;0;0
934;0;3;3
994;0;0;0
315;0;6;0
054;0;0;0
361;0;0;0
715;0;0;0
906;0;0;0
621;0;0;0
841;0;0;6
725;0;0;0
251;0;0;3
546;0;0;6
751;0;0;0
222;0;0;0
478;0;0;0
616;0;0;3
154;0;0;0
142;0;0;0
822;0;0;6
908;0;0;0
744;0;0;0
228;0;0;0
837;0;0;3
758;0;0;3
225;0;6;3
134;0;3;9
256;0;0;0
761;3;0;0
923;0;0;6
933;0;0;0
997;0;0;0
143;0;0;0
866;0;3;6
555;0;3;3
914;0;0;0
034;0;3;3
062;0;0;0
733;0;0;0
811;0;0;3
863;0;0;0
714;0;3;3
516;0;3;0
113;0;0;0
821;0;3;0
909;0;0;0
762;0;6;3
471;0;3;0
771;0;0;3
246;0;0;6
757;0;0;0
579;0;0;0
623;0;0;0
224;0;0;3
133;0;0;12
932;0;0;0
996;0;0;0
243;0;0;0
967;0;0;3
314;0;3;3
055;0;0;0
362;0;3;9
984;0;0;3
907;0;0;3
257;0;6;6
476;0;0;0
834;0;3;3
614;0;0;3
843;0;0;0
953;0;0;3
071;0;6;3
732;0;0;0
112;0;0;3
332;0;0;0
756;0;0;0
962;0;0;3
812;0;0;0
981;0;3;3
232;0;0;6
035;0;0;0
644;0;0;0
643;0;0;3
122;0;3;3
978;0;0;0
511;0;0;12
721;0;0;0
414;0;0;0
524;0;0;6
114;0;0;3
726;0;0;0
342;0;0;3
572;0;0;0
563;0;0;3
428;0;3;3
233;0;0;3
975;0;0;0
123;0;6;12
972;0;0;0
421;0;3;9
533;0;0;3
151;0;0;0
115;0;3;3
973;0;0;3
723;0;0;0
422;0;0;0
041;0;0;0
958;0;0;0
252;0;0;3
944;0;3;3
722;0;0;3
525;0;0;3
612;0;0;3
642;0;0;3
513;0;0;0
561;0;0;0
571;0;3;6
121;0;3;0
431;0;0;0
253;0;3;0
945;0;3;0
544;0;0;6
069;0;0;0
613;0;3;3
641;0;3;0
724;0;0;6
971;0;3;6
532;0;0;0
043;0;0;9
946;0;0;3
153;0;9;6
068;0;0;3
341;0;0;3
512;0;0;21
117;0;0;0
152;0;0;6
515;0;0;6
116;0;0;6
518;0;0;0
531;0;3;6
042;0;0;0
427;0;0;3
631;0;0;3
234;0;6;0
025;0;0;6
434;0;0;0
977;0;0;3
011;0;0;0
426;0;0;0
045;0;0;0
632;0;6;0
435;0;0;0
954;0;0;0
453;0;0;0
012;0;0;0
411;0;0;0
066;0;0;3
976;0;0;0
551;0;3;6
354;0;0;3
566;0;3;6
838;0;0;0
425;0;0;6
537;0;0;0
044;0;0;0
463;0;0;0
575;0;0;6
521;0;0;0
957;0;0;0
903;0;0;3
741;0;3;0
941;0;0;6
713;0;0;6
322;0;3;3
075;0;0;3
618;0;0;0
727;0;3;0
024;0;0;0
536;0;3;3
633;0;3;3
031;0;0;3
567;0;3;3
839;0;0;3
526;0;0;0
424;0;0;6
047;0;0;0
913;0;0;0
412;0;3;6
065;0;0;0
249;0;0;3
432;0;3;3
574;0;0;0
831;0;0;3
942;0;0;0
462;0;0;0
323;0;3;3
956;0;3;3
619;0;3;9
728;0;0;0
023;0;0;0
553;0;0;0
634;0;0;3
564;0;0;3
974;0;0;0
535;0;0;0
712;0;3;0
912;0;3;3
413;0;0;0
064;0;0;0
046;0;3;3
646;0;0;3
022;0;0;0
527;0;0;0
248;0;0;0
433;0;0;6
461;0;0;3
573;0;0;3
124;0;3;9
565;0;0;0
