Statistischer Bezirk;Dominanten im Landschaftsbild (cls:L971)
227;8
622;0
921;16
132;8
764;0
862;0
763;0
559;0
214;0
615;0
568;0
991;8
768;0
865;8
554;0
061;4
211;0
254;0
541;8
477;0
842;0
735;0
998;8
931;0
963;0
145;8
242;0
773;0
964;0
522;0
578;0
245;0
835;8
074;0
625;8
814;0
244;0
051;0
318;0
813;0
832;0
924;0
454;0
985;0
861;0
851;0
815;0
577;0
313;8
363;0
818;0
742;16
451;0
215;8
226;0
558;0
052;4
755;8
916;0
131;28
765;0
774;0
032;0
036;8
353;0
076;0
241;0
982;0
864;0
868;0
255;0
474;0
542;0
146;0
845;0
317;0
769;0
952;0
557;0
772;0
356;8
465;8
734;0
825;8
569;0
312;0
364;0
624;0
221;0
904;16
455;0
986;0
072;0
852;0
935;0
901;0
754;0
766;0
743;0
819;0
844;0
737;0
475;8
543;0
936;0
212;0
961;0
993;24
824;0
352;0
753;0
816;0
078;8
316;8
767;0
911;8
523;0
965;0
556;0
053;16
905;0
836;0
324;0
073;0
067;0
355;16
617;0
464;0
576;8
311;0
833;0
902;8
321;0
538;8
925;0
472;4
736;8
141;8
867;0
995;0
951;8
915;0
955;0
033;8
853;0
223;0
452;0
077;8
823;16
983;8
247;0
752;8
817;16
331;0
441;12
213;8
063;4
611;8
545;0
922;8
992;0
351;0
966;0
731;0
514;8
111;0
759;0
626;0
079;0
846;0
517;0
473;0
144;0
934;0
994;0
315;0
054;0
361;4
715;0
906;0
621;0
841;0
725;8
251;8
546;0
751;0
222;0
478;4
616;0
154;0
142;0
822;0
908;0
744;0
228;0
837;0
758;0
225;0
134;8
256;0
761;16
923;0
933;0
997;0
143;0
866;8
555;0
914;0
034;8
062;4
733;0
811;8
863;0
714;0
516;0
113;0
821;8
909;8
762;8
471;8
771;0
246;8
757;0
579;0
623;0
224;0
133;8
932;0
996;0
243;0
967;8
314;0
055;48
362;0
984;0
907;0
257;0
476;0
834;0
614;0
843;0
953;0
071;4
732;0
112;0
332;0
756;0
962;0
812;0
981;0
232;0
035;4
644;8
643;0
122;0
978;0
511;0
721;8
414;16
524;0
114;0
726;0
342;8
572;0
563;0
428;0
233;8
975;0
123;24
972;0
421;0
533;0
151;0
115;0
973;0
723;0
422;0
041;16
958;0
252;0
944;0
722;0
525;8
612;0
642;8
513;0
561;24
571;0
121;0
431;8
253;0
945;0
544;0
069;0
613;0
641;0
724;0
971;0
532;0
043;16
946;8
153;0
068;8
341;16
512;4
117;0
152;20
515;0
116;8
518;0
531;0
042;8
427;0
631;0
234;0
025;16
434;0
977;0
011;40
426;0
045;0
632;0
435;0
954;0
453;0
012;32
411;32
066;0
976;0
551;8
354;4
566;0
838;0
425;0
537;0
044;0
463;0
575;0
521;0
957;0
903;16
741;0
941;0
713;0
322;8
075;0
618;16
727;0
024;0
536;8
633;0
031;0
567;0
839;0
526;0
424;0
047;0
913;0
412;16
065;0
249;0
432;16
574;0
831;8
942;0
462;0
323;8
956;0
619;0
728;0
023;0
553;0
634;0
564;8
974;0
535;8
712;0
912;8
413;8
064;8
046;0
646;0
022;8
527;0
248;0
433;16
461;0
573;0
124;8
565;0
118;0
534;0
645;0
423;0
943;0
711;0
552;0
021;0
231;8
562;0
429;0
