Statistischer Bezirk;Nitratbelastung im Zeitraum 2006 bis 2008 (cls:L978)
227;8
622;4
921;0
132;0
764;0
862;0
763;0
559;12
214;0
615;0
568;0
991;4
768;0
865;0
554;0
061;0
211;0
254;0
541;0
477;4
842;0
735;0
998;4
931;0
963;0
145;0
242;0
773;0
964;0
522;0
578;0
245;0
835;0
074;4
625;0
814;0
244;0
051;8
318;0
813;0
832;0
924;0
454;4
985;0
861;0
851;0
815;0
577;0
313;0
363;4
818;0
742;36
451;4
215;0
226;4
558;0
052;4
755;0
916;0
131;0
765;0
774;0
032;0
036;4
353;4
076;0
241;0
982;0
864;0
868;0
255;4
474;12
542;4
146;4
845;0
317;0
769;0
952;0
557;0
772;0
356;4
465;8
734;0
825;0
569;0
312;0
364;4
624;0
221;0
904;12
455;0
986;0
072;0
852;0
935;0
901;16
754;0
766;0
743;0
819;0
844;0
737;0
475;16
543;0
936;0
212;4
961;0
993;4
824;4
352;4
753;0
816;0
078;0
316;0
767;0
911;0
523;0
965;0
556;0
053;16
905;4
836;0
324;0
073;0
067;0
355;8
617;0
464;8
576;8
311;0
833;0
902;4
321;0
538;0
925;0
472;8
736;0
141;4
867;0
995;12
951;0
915;0
955;0
033;0
853;0
223;4
452;0
077;0
823;0
983;0
247;0
752;0
817;0
331;0
441;4
213;0
063;4
611;0
545;0
922;0
992;4
351;4
966;0
731;12
514;0
111;0
759;0
626;4
079;0
846;0
517;0
473;4
144;0
934;0
994;8
315;0
054;4
361;4
715;0
906;4
621;8
841;0
725;0
251;0
546;0
751;0
222;0
478;4
616;0
154;4
142;0
822;0
908;4
744;8
228;4
837;0
758;0
225;0
134;0
256;0
761;20
923;0
933;0
997;4
143;0
866;0
555;4
914;0
034;28
062;0
733;0
811;0
863;0
714;0
516;0
113;0
821;0
909;16
762;0
471;8
771;0
246;0
757;0
579;28
623;8
224;0
133;8
932;0
996;4
243;0
967;0
314;0
055;88
362;0
984;0
907;12
257;0
476;4
834;0
614;0
843;0
953;0
071;4
732;4
112;0
332;16
756;0
962;0
812;0
981;0
232;4
035;0
644;0
643;0
122;12
978;0
511;0
721;0
414;8
524;4
114;0
726;0
342;0
572;0
563;4
428;4
233;44
975;0
123;12
972;0
421;0
533;0
151;4
115;0
973;0
723;0
422;0
041;4
958;0
252;0
944;0
722;0
525;12
612;4
642;0
513;20
561;40
571;0
121;0
431;0
253;0
945;0
544;0
069;0
613;0
641;0
724;0
971;0
532;0
043;4
946;0
153;24
068;0
341;12
512;4
117;0
152;28
515;0
116;0
518;0
531;4
042;0
427;4
631;0
234;12
025;0
434;0
977;0
011;0
426;0
045;0
632;0
435;0
954;0
453;0
012;0
411;0
066;4
976;0
551;4
354;4
566;0
838;0
425;4
537;0
044;4
463;0
575;0
521;32
957;0
903;24
741;0
941;0
713;0
322;0
075;0
618;0
727;0
024;0
536;4
633;4
031;0
567;4
839;0
526;4
424;0
047;0
913;0
412;20
065;0
249;0
432;36
574;0
831;0
942;0
462;8
323;0
956;0
619;8
728;0
023;4
553;4
634;0
564;8
974;0
535;0
712;0
912;0
413;4
064;0
046;0
646;12
022;0
527;0
248;0
433;4
461;4
573;0
124;0
565;0
118;8
534;0
645;4
423;4
943;0
711;4
552;0
021;0
231;8
562;0
429;0
