Statistischer Bezirk;Stützstellen der Isolinien 2017 (cls:L1002)
227;12
622;4
921;20
132;0
764;0
862;0
763;0
559;20
214;0
615;0
568;0
991;4
768;0
865;0
554;0
061;0
211;4
254;4
541;0
477;4
842;0
735;0
998;4
931;8
963;0
145;0
242;0
773;0
964;0
522;4
578;0
245;4
835;0
074;4
625;12
814;0
244;0
051;24
318;0
813;8
832;0
924;0
454;4
985;4
861;4
851;28
815;4
577;0
313;0
363;0
818;0
742;28
451;8
215;0
226;8
558;0
052;4
755;4
916;4
131;12
765;0
774;4
032;8
036;32
353;4
076;0
241;0
982;12
864;0
868;4
255;4
474;8
542;4
146;4
845;8
317;0
769;0
952;0
557;0
772;0
356;4
465;8
734;4
825;0
569;0
312;0
364;4
624;8
221;0
904;0
455;0
986;4
072;0
852;16
935;0
901;20
754;0
766;0
743;4
819;0
844;16
737;0
475;12
543;0
936;0
212;4
961;0
993;12
824;8
352;4
753;0
816;0
078;0
316;0
767;0
911;0
523;0
965;0
556;0
053;24
905;0
836;0
324;0
073;0
067;4
355;0
617;0
464;0
576;8
311;0
833;0
902;4
321;16
538;8
925;0
472;4
736;0
141;8
867;0
995;4
951;4
915;0
955;0
033;12
853;4
223;4
452;0
077;0
823;0
983;0
247;0
752;4
817;0
331;24
441;20
213;0
063;4
611;4
545;0
922;4
992;4
351;4
966;0
731;4
514;0
111;0
759;0
626;8
079;0
846;0
517;0
473;0
144;0
934;4
994;4
315;0
054;12
361;20
715;0
906;0
621;12
841;0
725;0
251;12
546;0
751;0
222;0
478;0
616;0
154;4
142;0
822;8
908;4
744;4
228;12
837;0
758;0
225;20
134;0
256;0
761;0
923;4
933;8
997;4
143;0
866;0
555;4
914;0
034;12
062;0
733;0
811;0
863;0
714;0
516;0
113;0
821;4
909;4
762;0
471;4
771;4
246;4
757;0
579;4
623;8
224;0
133;20
932;12
996;8
243;0
967;4
314;0
055;32
362;8
984;0
907;16
257;4
476;8
834;0
614;20
843;0
953;0
071;4
732;4
112;0
332;4
756;12
962;0
812;0
981;28
232;4
035;24
644;0
643;0
122;16
978;0
511;0
721;0
414;0
524;0
114;4
726;0
342;0
572;0
563;4
428;0
233;28
975;0
123;20
972;0
421;4
533;0
151;4
115;0
973;0
723;0
422;0
041;20
958;0
252;4
944;0
722;0
525;12
612;16
642;4
513;8
561;12
571;4
121;0
431;8
253;0
945;8
544;0
069;0
613;0
641;0
724;4
971;0
532;0
043;4
946;16
153;12
068;8
341;20
512;8
117;0
152;20
515;0
116;0
518;0
531;4
042;0
427;0
631;12
234;4
025;4
434;20
977;0
011;28
426;4
045;4
632;0
435;4
954;0
453;0
012;44
411;0
066;0
976;0
551;20
354;4
566;0
838;0
425;0
537;0
044;4
463;4
575;0
521;4
957;0
903;52
741;4
941;0
713;0
322;8
075;0
618;4
727;0
024;4
536;4
633;12
031;20
567;8
839;0
526;4
424;0
047;4
913;0
412;16
065;0
249;12
432;16
574;0
831;16
942;0
462;4
323;4
956;0
619;12
728;0
023;4
553;0
634;44
564;8
974;0
535;0
712;4
912;4
413;0
064;0
046;4
646;20
022;4
527;4
248;0
433;8
461;4
573;0
124;0
565;0
118;4
534;0
645;4
423;4
943;0
711;4
552;0
021;4
231;4
562;0
429;0
