Statistischer Bezirk;Wertstoffcontainerstandplätze (cls:L567)
227;4
622;0
921;3
132;1
764;1
862;0
763;1
559;1
214;1
615;1
568;0
991;2
768;3
865;1
554;0
061;0
211;0
254;1
541;1
477;1
842;3
735;0
998;3
931;4
963;1
145;3
242;1
773;4
964;2
522;2
578;1
245;1
835;2
074;1
625;1
814;1
244;3
051;4
318;2
813;2
832;1
924;1
454;1
985;5
861;1
851;6
815;1
577;1
313;1
363;1
818;3
742;4
451;2
215;0
226;2
558;3
052;2
755;1
916;1
131;1
765;2
774;1
032;0
036;1
353;3
076;4
241;1
982;2
864;1
868;2
255;3
474;1
542;2
146;2
845;5
317;2
769;1
952;2
557;0
772;1
356;1
465;1
734;1
825;0
569;2
312;0
364;1
624;3
221;2
904;0
455;1
986;2
072;2
852;5
935;1
901;2
754;0
766;3
743;4
819;2
844;1
737;1
475;0
543;1
936;0
212;2
961;1
993;2
824;1
352;1
753;4
816;3
078;1
316;3
767;1
911;3
523;0
965;1
556;0
053;4
905;1
836;0
324;1
073;1
067;2
355;0
617;2
464;0
576;1
311;1
833;2
902;2
321;2
538;3
925;0
472;1
736;1
141;2
867;0
995;0
951;1
915;3
955;1
033;4
853;3
223;0
452;0
077;0
823;3
983;3
247;0
752;2
817;2
331;0
441;0
213;3
063;7
611;0
545;6
922;2
992;1
351;0
966;1
731;3
514;0
111;2
759;4
626;1
079;1
846;1
517;0
473;1
144;2
934;0
994;0
315;2
054;2
361;3
715;1
906;1
621;0
841;2
725;0
251;3
546;1
751;0
222;0
478;1
616;2
154;0
142;4
822;4
908;0
744;1
228;1
837;2
758;4
225;5
134;3
256;1
761;1
923;0
933;3
997;1
143;1
866;0
555;4
914;1
034;3
062;2
733;2
811;2
863;0
714;2
516;0
113;0
821;0
909;0
762;1
471;2
771;2
246;2
757;1
579;2
623;5
224;1
133;2
932;1
996;0
243;0
967;4
314;3
055;0
362;1
984;2
907;1
257;3
476;1
834;1
614;2
843;3
953;1
071;3
732;2
112;0
332;0
756;1
962;3
812;1
981;3
232;1
035;0
644;1
643;0
122;2
978;0
511;2
721;5
414;2
524;0
114;1
726;0
342;0
572;0
563;3
428;1
233;6
975;1
123;3
972;3
421;3
533;2
151;0
115;2
973;1
723;0
422;0
041;2
958;1
252;1
944;5
722;1
525;2
612;1
642;1
513;0
561;2
571;1
121;1
431;0
253;1
945;3
544;1
069;0
613;0
641;1
724;2
971;4
532;0
043;2
946;3
153;1
068;0
341;3
512;4
117;0
152;3
515;1
116;2
518;0
531;1
042;3
427;3
631;2
234;2
025;1
434;1
977;4
011;1
426;1
045;0
632;1
435;0
954;3
453;2
012;0
411;1
066;2
976;1
551;2
354;4
566;2
838;1
425;1
537;2
044;2
463;1
575;2
521;0
957;1
903;2
741;2
941;0
713;2
322;4
075;1
618;1
727;2
024;2
536;3
633;3
031;2
567;3
839;0
526;1
424;2
047;1
913;0
412;4
065;0
249;0
432;1
574;2
831;6
942;0
462;0
323;5
956;3
619;2
728;1
023;1
553;0
634;3
564;3
974;0
535;1
712;1
912;1
413;1
064;3
046;1
646;2
022;1
527;3
248;3
433;3
461;1
573;3
124;2
565;2
118;4
534;1
645;2
423;0
943;1
711;0
552;1
021;1
231;0
562;0
429;1
