Statistischer Bezirk;Sonstige Unterkünfte (cls:L94);Hotels (cls:L93);Hostel und Jugendherbergen (cls:L95);Campingplätze (cls:L751)
227;0;0;0;0
622;0;0;0;0
921;0;0;0;0
132;3;0;0;0
764;3;0;0;0
862;0;0;0;0
763;0;0;0;0
559;0;0;0;0
214;6;0;0;0
615;0;0;0;0
568;0;0;0;0
991;6;0;0;0
768;0;0;0;0
865;0;0;0;0
554;0;0;0;0
061;0;0;0;0
211;0;0;0;0
254;3;3;0;0
541;0;3;0;0
477;0;0;0;0
842;0;0;0;0
735;0;0;0;0
998;0;3;0;0
931;6;0;0;0
963;0;0;0;0
145;3;3;0;0
242;0;0;0;0
773;0;3;0;0
964;0;0;0;0
522;0;0;0;0
578;6;0;0;0
245;0;0;0;0
835;0;0;0;0
074;0;0;0;0
625;0;0;0;0
814;0;0;0;0
244;6;0;0;0
051;6;0;0;0
318;0;0;0;0
813;0;3;0;0
832;0;0;0;0
924;0;0;0;0
454;6;0;0;0
985;15;0;0;0
861;3;3;0;0
851;0;0;0;0
815;0;0;0;0
577;3;0;0;0
313;0;0;0;0
363;0;0;0;0
818;0;0;0;0
742;27;6;0;0
451;0;0;0;0
215;0;0;0;0
226;0;0;0;0
558;0;0;0;0
052;0;0;0;0
755;9;6;0;0
916;0;0;0;0
131;18;24;0;0
765;0;3;0;0
774;6;0;0;0
032;3;0;0;0
036;0;0;0;0
353;0;0;0;0
076;0;0;0;0
241;3;0;0;0
982;3;3;0;0
864;3;0;0;0
868;6;0;0;0
255;0;0;0;0
474;0;0;0;0
542;0;0;0;0
146;3;9;0;0
845;15;0;0;2
317;0;0;0;0
769;0;0;0;0
952;0;0;0;0
557;0;0;0;0
772;0;0;0;0
356;0;3;0;0
465;3;3;0;0
734;3;0;0;0
825;0;0;0;0
569;0;0;0;0
312;0;0;0;0
364;0;0;0;0
624;6;0;0;0
221;3;0;0;0
904;3;0;0;0
455;6;0;0;0
986;15;0;0;0
072;0;0;0;0
852;12;6;0;0
935;0;3;0;0
901;6;0;0;0
754;0;0;0;0
766;0;0;0;0
743;3;0;0;0
819;0;0;0;0
844;3;0;0;0
737;0;0;0;0
475;0;0;0;0
543;3;0;0;0
936;0;0;0;0
212;0;0;0;0
961;0;0;0;0
993;0;3;0;0
824;3;3;0;0
352;6;0;0;0
753;0;0;0;0
816;6;0;0;0
078;0;0;0;0
316;3;3;0;0
767;0;0;0;0
911;9;12;0;0
523;0;0;0;0
965;0;0;0;0
556;0;0;0;0
053;9;12;0;0
905;0;0;0;0
836;0;0;0;0
324;3;0;0;0
073;0;0;0;0
067;0;0;0;0
355;3;0;0;0
617;0;0;0;0
464;3;0;0;0
576;3;0;0;0
311;12;3;0;0
833;0;0;0;0
902;0;0;0;0
321;6;3;0;0
538;0;0;0;0
925;0;0;0;0
472;3;0;0;0
736;0;0;0;0
141;9;3;3;0
867;3;0;0;0
995;0;0;0;0
951;0;0;0;0
915;6;0;0;0
955;0;0;0;0
033;0;0;0;0
853;3;0;0;0
223;0;0;0;0
452;3;0;0;0
077;0;0;0;0
823;12;3;0;0
983;9;0;0;0
247;0;3;0;0
752;0;3;0;0
817;0;0;3;0
331;0;0;0;0
441;0;0;0;0
213;6;0;0;0
063;0;0;0;0
611;0;0;0;0
545;3;0;0;0
922;0;0;0;0
