"Jahr";"Stadtteil zus.";"Stadtbezirk mit zugeordneten Ortschaften";"Stadtraum";"Wohnungen gesamt";"Wohnungen mit 1Raum";"Wohnungen mit 2 Räumen";"Wohnungen mit 3 Räumen";"Wohnungen mit 4 Räumen";"Wohnungen mit 5 Räumen";"Wohnungen mit 6 Räumen";"Wohnungen mit 7 u.mehr Räumen";"Gebäudeanzahl"
"1999";"01 Innere Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";1013;106;458;271;142;34;2;0;80
"1999";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";4205;695;2200;1063;238;7;0;2;208
"1999";"03 Seevorstadt-Ost";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";4165;1461;1053;1430;167;39;11;4;275
"1999";"04 Wilsdruffer Vs./Seevs.-West";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";4951;448;2128;1892;459;21;3;0;370
"1999";"05 Friedrichstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";4152;622;1681;1383;380;75;11;0;375
"1999";"06 Johannstadt-Nord";"StB 0 Altstadt";"02 Johannstadt";5951;541;2384;2379;570;64;8;5;308
"1999";"07 Johannstadt-Süd";"StB 0 Altstadt";"02 Johannstadt";7279;552;3302;3081;322;16;1;5;466
"1999";"11 Äußere Neustadt (Antonstadt)";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";9316;893;4053;2885;1021;352;69;43;1098
"1999";"12 Radeberger Vorstadt";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";4181;510;1174;1519;702;191;54;31;622
"1999";"13 Innere Neustadt";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";3557;443;1072;1355;530;112;31;14;402
"1999";"14 Leipziger Vorstadt";"StB 1 Neustadt";"04 Leipziger Vorstadt, Pieschen";6560;456;2932;2310;700;129;26;7;773
"1999";"15 Albertstadt";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";1113;115;496;383;93;25;0;1;132
"1999";"21 Pieschen-Süd";"StB 2 Pieschen";"04 Leipziger Vorstadt, Pieschen";6407;432;3120;2249;469;108;19;10;785
"1999";"22 Mickten";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";6998;588;2953;2746;565;123;16;7;895
"1999";"23 Kaditz";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";3080;197;1438;1019;259;101;45;21;883
"1999";"24 Trachau";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";5391;212;1866;2126;908;201;58;20;1224
"1999";"25 Pieschen-N/Trachenberge";"StB 2 Pieschen";"04 Leipziger Vorstadt, Pieschen";6967;504;3188;2341;704;183;35;12;1039
"1999";"31 Klotzsche";"StB 3 Klotzsche/nördliche Ortschaften";"06 StB Klotzsche und nördliche OS";7039;948;1808;2518;1257;325;126;57;1604
